# logMh	Muv	Muv_dust
8.000	-4.705	-4.510
8.100	-5.025	-4.822
8.200	-5.350	-5.137
8.300	-5.686	-5.463
8.400	-5.944	-5.712
8.500	-6.281	-6.038
8.600	-6.668	-6.412
8.700	-7.092	-6.820
8.800	-7.432	-7.146
8.900	-7.752	-7.453
9.000	-8.063	-7.751
9.100	-8.416	-8.088
9.200	-8.781	-8.436
9.300	-9.139	-8.776
9.400	-9.503	-9.121
9.500	-9.871	-9.470
9.600	-10.242	-9.820
9.700	-10.631	-10.185
9.800	-11.019	-10.549
9.900	-11.419	-10.923
10.000	-11.815	-11.291
10.100	-12.229	-11.675
10.200	-12.648	-12.061
10.300	-13.065	-12.444
10.400	-13.483	-12.826
10.500	-13.906	-13.211
10.600	-14.342	-13.605
10.700	-14.771	-13.991
10.800	-15.194	-14.370
10.900	-15.624	-14.752
11.000	-16.050	-15.128
11.100	-16.467	-15.495
11.200	-16.867	-15.844
11.300	-17.254	-16.179
11.400	-17.625	-16.498
11.500	-17.964	-16.788
11.600	-18.280	-17.056
11.700	-18.587	-17.315
11.800	-18.862	-17.547
11.900	-19.124	-17.765
12.000	-19.364	-17.965
12.100	-19.605	-18.164
12.200	-19.823	-18.344
12.300	-20.030	-18.513
12.400	-20.223	-18.670
12.500	-20.410	-18.822
12.600	-20.590	-18.968
12.700	-20.765	-19.109
12.800	-20.934	-19.244
12.900	-21.077	-19.359
13.000	-21.233	-19.483
13.100	-21.368	-19.590
13.200	-21.530	-19.719
13.300	-21.670	-19.830
13.400	-21.834	-19.961
13.500	-21.961	-20.061
13.600	-22.111	-20.180
13.700	-22.265	-20.303
13.800	-22.389	-20.401
13.900	-22.555	-20.533
14.000	-23.562	-21.334
