# logMh	Muv	Muv_dust
8.000	-10.870	-10.866
8.100	-11.191	-11.186
8.200	-11.527	-11.522
8.300	-11.849	-11.844
8.400	-12.118	-12.113
8.500	-12.457	-12.452
8.600	-12.846	-12.840
8.700	-13.264	-13.257
8.800	-13.615	-13.606
8.900	-13.939	-13.930
9.000	-14.265	-14.254
9.100	-14.617	-14.604
9.200	-14.984	-14.967
9.300	-15.345	-15.324
9.400	-15.724	-15.697
9.500	-16.101	-16.067
9.600	-16.480	-16.437
9.700	-16.872	-16.815
9.800	-17.268	-17.194
9.900	-17.667	-17.570
10.000	-18.073	-17.946
10.100	-18.486	-18.319
10.200	-18.905	-18.686
10.300	-19.328	-19.043
10.400	-19.745	-19.378
10.500	-20.173	-19.709
10.600	-20.612	-20.047
10.700	-21.044	-20.380
10.800	-21.466	-20.705
10.900	-21.885	-21.028
11.000	-22.326	-21.368
11.100	-22.743	-21.688
11.200	-23.150	-22.002
11.300	-23.540	-22.302
11.400	-23.921	-22.595
11.500	-24.277	-22.869
11.600	-24.602	-23.120
11.700	-24.931	-23.373
11.800	-25.220	-23.596
11.900	-25.497	-23.809
12.000	-25.751	-24.005
12.100	-25.997	-24.194
12.200	-26.226	-24.370
12.300	-26.441	-24.536
12.400	-26.644	-24.693
12.500	-26.836	-24.841
12.600	-27.010	-24.975
12.700	-27.195	-25.117
12.800	-27.362	-25.246
12.900	-27.530	-25.375
13.000	-27.698	-25.504
13.100	-27.863	-25.632
13.200	-28.027	-25.758
13.300	-28.191	-25.884
13.400	-28.340	-25.999
13.500	-28.480	-26.106
13.600	-28.621	-26.215
13.700	-28.755	-26.319
13.800	-28.873	-26.409
13.900	-29.018	-26.521
14.000	-29.851	-27.163
