# logMh	Muv	Muv_dust
8.000	-10.013	-10.009
8.100	-10.340	-10.336
8.200	-10.672	-10.668
8.300	-11.014	-11.010
8.400	-11.280	-11.276
8.500	-11.621	-11.617
8.600	-12.018	-12.013
8.700	-12.436	-12.431
8.800	-12.788	-12.782
8.900	-13.114	-13.108
9.000	-13.439	-13.431
9.100	-13.787	-13.778
9.200	-14.157	-14.146
9.300	-14.515	-14.503
9.400	-14.889	-14.874
9.500	-15.257	-15.237
9.600	-15.635	-15.610
9.700	-16.021	-15.989
9.800	-16.421	-16.380
9.900	-16.811	-16.757
10.000	-17.214	-17.143
10.100	-17.630	-17.536
10.200	-18.055	-17.929
10.300	-18.478	-18.312
10.400	-18.901	-18.682
10.500	-19.334	-19.047
10.600	-19.773	-19.401
10.700	-20.210	-19.738
10.800	-20.646	-20.073
10.900	-21.085	-20.412
11.000	-21.528	-20.752
11.100	-21.952	-21.080
11.200	-22.362	-21.395
11.300	-22.763	-21.703
11.400	-23.137	-21.992
11.500	-23.487	-22.261
11.600	-23.819	-22.517
11.700	-24.131	-22.757
11.800	-24.413	-22.975
11.900	-24.692	-23.190
12.000	-24.937	-23.378
12.100	-25.183	-23.568
12.200	-25.401	-23.736
12.300	-25.617	-23.902
12.400	-25.826	-24.062
12.500	-26.026	-24.217
12.600	-26.220	-24.366
12.700	-26.404	-24.508
12.800	-26.590	-24.651
12.900	-26.770	-24.790
13.000	-26.935	-24.917
13.100	-27.092	-25.038
13.200	-27.255	-25.164
13.300	-27.419	-25.289
13.400	-27.577	-25.411
13.500	-27.716	-25.518
13.600	-27.855	-25.625
13.700	-28.004	-25.740
13.800	-28.135	-25.841
13.900	-28.295	-25.964
14.000	-29.227	-26.682
