# logMh	Muv	Muv_dust
8.000	-8.609	-8.605
8.100	-8.938	-8.933
8.200	-9.268	-9.263
8.300	-9.599	-9.595
8.400	-9.873	-9.867
8.500	-10.210	-10.204
8.600	-10.607	-10.601
8.700	-11.034	-11.027
8.800	-11.384	-11.376
8.900	-11.707	-11.699
9.000	-12.029	-12.019
9.100	-12.379	-12.367
9.200	-12.752	-12.738
9.300	-13.114	-13.098
9.400	-13.483	-13.464
9.500	-13.864	-13.841
9.600	-14.233	-14.204
9.700	-14.642	-14.606
9.800	-15.030	-14.986
9.900	-15.440	-15.385
10.000	-15.840	-15.771
10.100	-16.264	-16.176
10.200	-16.681	-16.570
10.300	-17.098	-16.959
10.400	-17.517	-17.342
10.500	-17.943	-17.722
10.600	-18.386	-18.107
10.700	-18.819	-18.471
10.800	-19.253	-18.823
10.900	-19.688	-19.160
11.000	-20.128	-19.483
11.100	-20.556	-19.789
11.200	-20.969	-20.085
11.300	-21.364	-20.368
11.400	-21.746	-20.641
11.500	-22.099	-20.893
11.600	-22.431	-21.131
11.700	-22.749	-21.358
11.800	-23.030	-21.560
11.900	-23.299	-21.752
12.000	-23.556	-21.936
12.100	-23.803	-22.112
12.200	-24.037	-22.280
12.300	-24.255	-22.436
12.400	-24.468	-22.588
12.500	-24.669	-22.732
12.600	-24.856	-22.866
12.700	-25.048	-23.003
12.800	-25.224	-23.129
12.900	-25.378	-23.239
13.000	-25.531	-23.348
13.100	-25.692	-23.464
13.200	-25.857	-23.582
13.300	-26.026	-23.702
13.400	-26.190	-23.820
13.500	-26.348	-23.933
13.600	-26.508	-24.047
13.700	-26.655	-24.153
13.800	-26.800	-24.256
13.900	-26.966	-24.375
14.000	-27.950	-25.079
