# logMh	Muv	Muv_dust
8.000	-10.289	-10.286
8.100	-10.619	-10.615
8.200	-10.953	-10.949
8.300	-11.292	-11.287
8.400	-11.563	-11.559
8.500	-11.907	-11.902
8.600	-12.301	-12.296
8.700	-12.727	-12.721
8.800	-13.074	-13.068
8.900	-13.404	-13.397
9.000	-13.727	-13.718
9.100	-14.085	-14.075
9.200	-14.448	-14.436
9.300	-14.809	-14.794
9.400	-15.182	-15.163
9.500	-15.556	-15.533
9.600	-15.934	-15.904
9.700	-16.322	-16.283
9.800	-16.716	-16.665
9.900	-17.115	-17.049
10.000	-17.526	-17.438
10.100	-17.935	-17.819
10.200	-18.357	-18.203
10.300	-18.781	-18.578
10.400	-19.187	-18.925
10.500	-19.619	-19.279
10.600	-20.058	-19.621
10.700	-20.495	-19.957
10.800	-20.926	-20.289
10.900	-21.364	-20.627
11.000	-21.799	-20.961
11.100	-22.223	-21.288
11.200	-22.636	-21.606
11.300	-23.039	-21.916
11.400	-23.419	-22.209
11.500	-23.769	-22.479
11.600	-24.098	-22.732
11.700	-24.412	-22.974
11.800	-24.701	-23.196
11.900	-24.981	-23.412
12.000	-25.229	-23.603
12.100	-25.477	-23.794
12.200	-25.702	-23.968
12.300	-25.916	-24.132
12.400	-26.115	-24.286
12.500	-26.312	-24.437
12.600	-26.500	-24.582
12.700	-26.684	-24.724
12.800	-26.860	-24.859
12.900	-27.035	-24.994
13.000	-27.209	-25.128
13.100	-27.375	-25.255
13.200	-27.539	-25.382
13.300	-27.697	-25.504
13.400	-27.851	-25.622
13.500	-27.999	-25.736
13.600	-28.136	-25.842
13.700	-28.280	-25.953
13.800	-28.410	-26.052
13.900	-28.563	-26.171
14.000	-29.469	-26.868
