# logMh	Muv	Muv_dust
8.000	-8.262	-8.239
8.100	-8.589	-8.564
8.200	-8.922	-8.894
8.300	-9.264	-9.233
8.400	-9.525	-9.492
8.500	-9.865	-9.828
8.600	-10.261	-10.220
8.700	-10.682	-10.635
8.800	-11.035	-10.983
8.900	-11.358	-11.300
9.000	-11.658	-11.595
9.100	-12.018	-11.948
9.200	-12.389	-12.309
9.300	-12.737	-12.649
9.400	-13.112	-13.013
9.500	-13.481	-13.369
9.600	-13.864	-13.738
9.700	-14.255	-14.113
9.800	-14.652	-14.492
9.900	-15.056	-14.874
10.000	-15.467	-15.260
10.100	-15.886	-15.651
10.200	-16.312	-16.044
10.300	-16.742	-16.437
10.400	-17.165	-16.820
10.500	-17.604	-17.211
10.600	-18.048	-17.601
10.700	-18.491	-17.984
10.800	-18.928	-18.354
10.900	-19.358	-18.712
11.000	-19.797	-19.070
11.100	-20.214	-19.402
11.200	-20.625	-19.723
11.300	-21.021	-20.033
11.400	-21.395	-20.326
11.500	-21.750	-20.603
11.600	-22.072	-20.856
11.700	-22.387	-21.101
11.800	-22.677	-21.328
11.900	-22.962	-21.551
12.000	-23.194	-21.733
12.100	-23.446	-21.930
12.200	-23.678	-22.111
12.300	-23.904	-22.288
12.400	-24.093	-22.436
12.500	-24.281	-22.583
12.600	-24.469	-22.730
12.700	-24.654	-22.875
12.800	-24.836	-23.017
12.900	-25.010	-23.153
13.000	-25.180	-23.286
13.100	-25.350	-23.419
13.200	-25.525	-23.556
13.300	-25.682	-23.679
13.400	-25.837	-23.800
13.500	-25.998	-23.926
13.600	-26.149	-24.044
13.700	-26.296	-24.159
13.800	-26.445	-24.275
13.900	-26.614	-24.407
14.000	-27.593	-25.173
