# logMh	Muv	Muv_dust
8.000	-5.837	-5.691
8.100	-6.160	-6.006
8.200	-6.491	-6.330
8.300	-6.830	-6.660
8.400	-7.091	-6.915
8.500	-7.431	-7.246
8.600	-7.816	-7.619
8.700	-8.240	-8.031
8.800	-8.586	-8.365
8.900	-8.908	-8.676
9.000	-9.221	-8.978
9.100	-9.570	-9.314
9.200	-9.940	-9.668
9.300	-10.300	-10.013
9.400	-10.673	-10.370
9.500	-11.044	-10.723
9.600	-11.421	-11.081
9.700	-11.811	-11.449
9.800	-12.208	-11.823
9.900	-12.606	-12.197
10.000	-13.017	-12.580
10.100	-13.433	-12.967
10.200	-13.848	-13.350
10.300	-14.274	-13.741
10.400	-14.695	-14.126
10.500	-15.127	-14.517
10.600	-15.565	-14.912
10.700	-16.006	-15.305
10.800	-16.437	-15.687
10.900	-16.871	-16.066
11.000	-17.300	-16.439
11.100	-17.718	-16.797
11.200	-18.129	-17.146
11.300	-18.511	-17.467
11.400	-18.885	-17.777
11.500	-19.229	-18.059
11.600	-19.550	-18.319
11.700	-19.862	-18.570
11.800	-20.142	-18.792
11.900	-20.414	-19.006
12.000	-20.658	-19.195
12.100	-20.901	-19.382
12.200	-21.125	-19.553
12.300	-21.335	-19.713
12.400	-21.541	-19.869
12.500	-21.731	-20.014
12.600	-21.921	-20.159
12.700	-22.111	-20.303
12.800	-22.271	-20.425
12.900	-22.444	-20.556
13.000	-22.604	-20.678
13.100	-22.755	-20.793
13.200	-22.913	-20.913
13.300	-23.063	-21.027
13.400	-23.224	-21.150
13.500	-23.358	-21.252
13.600	-23.502	-21.361
13.700	-23.651	-21.475
13.800	-23.792	-21.582
13.900	-23.960	-21.710
14.000	-24.980	-22.486
