# logMh	Muv	Muv_dust
8.000	-10.942	-10.938
8.100	-11.274	-11.270
8.200	-11.603	-11.598
8.300	-11.945	-11.940
8.400	-12.218	-12.213
8.500	-12.560	-12.555
8.600	-12.956	-12.950
8.700	-13.376	-13.369
8.800	-13.722	-13.714
8.900	-14.053	-14.043
9.000	-14.375	-14.363
9.100	-14.732	-14.718
9.200	-15.093	-15.075
9.300	-15.451	-15.429
9.400	-15.823	-15.795
9.500	-16.197	-16.162
9.600	-16.567	-16.521
9.700	-16.956	-16.896
9.800	-17.347	-17.269
9.900	-17.737	-17.636
10.000	-18.148	-18.015
10.100	-18.555	-18.380
10.200	-18.959	-18.732
10.300	-19.393	-19.096
10.400	-19.807	-19.427
10.500	-20.241	-19.762
10.600	-20.672	-20.094
10.700	-21.104	-20.427
10.800	-21.533	-20.756
10.900	-21.977	-21.098
11.000	-22.406	-21.429
11.100	-22.842	-21.765
11.200	-23.258	-22.085
11.300	-23.647	-22.385
11.400	-24.024	-22.675
11.500	-24.372	-22.943
11.600	-24.700	-23.195
11.700	-25.015	-23.438
11.800	-25.300	-23.658
11.900	-25.568	-23.864
12.000	-25.812	-24.052
12.100	-26.045	-24.231
12.200	-26.278	-24.410
12.300	-26.486	-24.571
12.400	-26.697	-24.734
12.500	-26.896	-24.887
12.600	-27.093	-25.038
12.700	-27.286	-25.187
12.800	-27.462	-25.323
12.900	-27.636	-25.457
13.000	-27.792	-25.577
13.100	-27.946	-25.695
13.200	-28.102	-25.816
13.300	-28.251	-25.930
13.400	-28.382	-26.031
13.500	-28.525	-26.141
13.600	-28.665	-26.249
13.700	-28.802	-26.355
13.800	-28.951	-26.469
13.900	-29.107	-26.589
14.000	-29.928	-27.222
