# logMh	Muv	Muv_dust
8.000	-9.655	-9.651
8.100	-9.986	-9.982
8.200	-10.319	-10.315
8.300	-10.660	-10.656
8.400	-10.928	-10.924
8.500	-11.268	-11.264
8.600	-11.663	-11.659
8.700	-12.081	-12.076
8.800	-12.433	-12.428
8.900	-12.758	-12.752
9.000	-13.079	-13.072
9.100	-13.436	-13.428
9.200	-13.800	-13.791
9.300	-14.161	-14.151
9.400	-14.532	-14.520
9.500	-14.907	-14.891
9.600	-15.271	-15.251
9.700	-15.665	-15.639
9.800	-16.060	-16.028
9.900	-16.460	-16.417
10.000	-16.871	-16.814
10.100	-17.279	-17.205
10.200	-17.711	-17.611
10.300	-18.127	-17.995
10.400	-18.556	-18.381
10.500	-18.995	-18.763
10.600	-19.426	-19.123
10.700	-19.874	-19.479
10.800	-20.309	-19.814
10.900	-20.746	-20.151
11.000	-21.184	-20.488
11.100	-21.610	-20.816
11.200	-22.019	-21.131
11.300	-22.415	-21.436
11.400	-22.793	-21.727
11.500	-23.146	-21.999
11.600	-23.471	-22.249
11.700	-23.787	-22.492
11.800	-24.070	-22.710
11.900	-24.342	-22.920
12.000	-24.588	-23.110
12.100	-24.829	-23.295
12.200	-25.059	-23.472
12.300	-25.277	-23.640
12.400	-25.484	-23.799
12.500	-25.685	-23.954
12.600	-25.876	-24.101
12.700	-26.064	-24.246
12.800	-26.251	-24.390
12.900	-26.424	-24.523
13.000	-26.589	-24.650
13.100	-26.751	-24.775
13.200	-26.920	-24.905
13.300	-27.079	-25.028
13.400	-27.232	-25.146
13.500	-27.379	-25.259
13.600	-27.526	-25.372
13.700	-27.661	-25.476
13.800	-27.803	-25.585
13.900	-27.959	-25.706
14.000	-28.907	-26.435
