# logMh	Muv	Muv_dust
8.000	-6.688	-6.616
8.100	-7.015	-6.938
8.200	-7.346	-7.265
8.300	-7.685	-7.599
8.400	-7.951	-7.860
8.500	-8.293	-8.196
8.600	-8.688	-8.584
8.700	-9.117	-9.003
8.800	-9.466	-9.344
8.900	-9.792	-9.662
9.000	-10.104	-9.967
9.100	-10.459	-10.311
9.200	-10.827	-10.668
9.300	-11.186	-11.015
9.400	-11.559	-11.374
9.500	-11.928	-11.728
9.600	-12.305	-12.090
9.700	-12.695	-12.460
9.800	-13.094	-12.839
9.900	-13.494	-13.216
10.000	-13.903	-13.599
10.100	-14.318	-13.986
10.200	-14.739	-14.375
10.300	-15.166	-14.766
10.400	-15.586	-15.147
10.500	-16.020	-15.537
10.600	-16.458	-15.925
10.700	-16.892	-16.307
10.800	-17.323	-16.679
10.900	-17.759	-17.051
11.000	-18.191	-17.414
11.100	-18.618	-17.766
11.200	-19.026	-18.096
11.300	-19.415	-18.406
11.400	-19.788	-18.696
11.500	-20.138	-18.965
11.600	-20.462	-19.209
11.700	-20.771	-19.438
11.800	-21.049	-19.640
11.900	-21.317	-19.836
12.000	-21.563	-20.016
12.100	-21.795	-20.185
12.200	-22.011	-20.342
12.300	-22.236	-20.507
12.400	-22.441	-20.656
12.500	-22.637	-20.800
12.600	-22.821	-20.934
12.700	-23.009	-21.071
12.800	-23.189	-21.202
12.900	-23.362	-21.329
13.000	-23.534	-21.454
13.100	-23.701	-21.576
13.200	-23.868	-21.698
13.300	-24.027	-21.814
13.400	-24.183	-21.928
13.500	-24.334	-22.038
13.600	-24.484	-22.148
13.700	-24.632	-22.256
13.800	-24.773	-22.358
13.900	-24.933	-22.475
14.000	-25.946	-23.214
