# logMh	Muv	Muv_dust
8.000	-10.779	-10.775
8.100	-11.107	-11.103
8.200	-11.440	-11.436
8.300	-11.781	-11.777
8.400	-12.040	-12.036
8.500	-12.387	-12.381
8.600	-12.766	-12.760
8.700	-13.194	-13.187
8.800	-13.534	-13.526
8.900	-13.862	-13.853
9.000	-14.177	-14.166
9.100	-14.535	-14.522
9.200	-14.892	-14.876
9.300	-15.245	-15.225
9.400	-15.621	-15.596
9.500	-15.985	-15.953
9.600	-16.374	-16.334
9.700	-16.749	-16.697
9.800	-17.150	-17.082
9.900	-17.549	-17.460
10.000	-17.955	-17.837
10.100	-18.376	-18.221
10.200	-18.800	-18.595
10.300	-19.228	-18.959
10.400	-19.654	-19.306
10.500	-20.089	-19.644
10.600	-20.531	-19.985
10.700	-20.962	-20.317
10.800	-21.392	-20.648
10.900	-21.830	-20.985
11.000	-22.263	-21.319
11.100	-22.678	-21.638
11.200	-23.088	-21.954
11.300	-23.471	-22.249
11.400	-23.851	-22.542
11.500	-24.196	-22.807
11.600	-24.513	-23.051
11.700	-24.829	-23.295
11.800	-25.107	-23.509
11.900	-25.383	-23.722
12.000	-25.635	-23.916
12.100	-25.890	-24.112
12.200	-26.128	-24.295
12.300	-26.354	-24.469
12.400	-26.565	-24.632
12.500	-26.765	-24.786
12.600	-26.952	-24.930
12.700	-27.133	-25.070
12.800	-27.309	-25.205
12.900	-27.467	-25.326
13.000	-27.626	-25.449
13.100	-27.774	-25.563
13.200	-27.923	-25.677
13.300	-28.082	-25.800
13.400	-28.236	-25.918
13.500	-28.395	-26.041
13.600	-28.544	-26.156
13.700	-28.692	-26.270
13.800	-28.827	-26.374
13.900	-28.972	-26.485
14.000	-29.825	-27.143
