# logMh	Muv	Muv_dust
8.000	-10.442	-10.438
8.100	-10.771	-10.767
8.200	-11.105	-11.101
8.300	-11.444	-11.439
8.400	-11.713	-11.708
8.500	-12.047	-12.042
8.600	-12.439	-12.434
8.700	-12.857	-12.851
8.800	-13.210	-13.203
8.900	-13.534	-13.526
9.000	-13.850	-13.841
9.100	-14.206	-14.196
9.200	-14.571	-14.558
9.300	-14.928	-14.912
9.400	-15.290	-15.270
9.500	-15.662	-15.636
9.600	-16.034	-16.002
9.700	-16.428	-16.387
9.800	-16.821	-16.766
9.900	-17.222	-17.150
10.000	-17.632	-17.537
10.100	-18.048	-17.923
10.200	-18.469	-18.304
10.300	-18.900	-18.681
10.400	-19.325	-19.040
10.500	-19.764	-19.393
10.600	-20.206	-19.735
10.700	-20.643	-20.072
10.800	-21.074	-20.403
10.900	-21.507	-20.736
11.000	-21.945	-21.074
11.100	-22.375	-21.405
11.200	-22.773	-21.712
11.300	-23.166	-22.014
11.400	-23.543	-22.304
11.500	-23.889	-22.571
11.600	-24.215	-22.822
11.700	-24.521	-23.058
11.800	-24.802	-23.274
11.900	-25.075	-23.485
12.000	-25.323	-23.675
12.100	-25.572	-23.867
12.200	-25.805	-24.047
12.300	-26.034	-24.223
12.400	-26.253	-24.392
12.500	-26.453	-24.546
12.600	-26.644	-24.693
12.700	-26.828	-24.834
12.800	-27.007	-24.972
12.900	-27.173	-25.100
13.000	-27.333	-25.223
13.100	-27.491	-25.345
13.200	-27.646	-25.464
13.300	-27.793	-25.577
13.400	-27.944	-25.694
13.500	-28.092	-25.808
13.600	-28.247	-25.928
13.700	-28.398	-26.044
13.800	-28.544	-26.156
13.900	-28.702	-26.278
14.000	-29.602	-26.970
