# logMh	Muv	Muv_dust
8.000	-7.819	-7.759
8.100	-8.144	-8.079
8.200	-8.476	-8.407
8.300	-8.815	-8.740
8.400	-9.086	-9.007
8.500	-9.419	-9.333
8.600	-9.816	-9.722
8.700	-10.244	-10.141
8.800	-10.593	-10.482
8.900	-10.919	-10.799
9.000	-11.237	-11.109
9.100	-11.597	-11.458
9.200	-11.967	-11.816
9.300	-12.332	-12.168
9.400	-12.711	-12.533
9.500	-13.083	-12.889
9.600	-13.464	-13.253
9.700	-13.860	-13.630
9.800	-14.263	-14.012
9.900	-14.661	-14.386
10.000	-15.065	-14.764
10.100	-15.485	-15.155
10.200	-15.905	-15.543
10.300	-16.335	-15.937
10.400	-16.754	-16.319
10.500	-17.189	-16.710
10.600	-17.631	-17.105
10.700	-18.067	-17.490
10.800	-18.499	-17.867
10.900	-18.931	-18.240
11.000	-19.368	-18.612
11.100	-19.795	-18.970
11.200	-20.205	-19.309
11.300	-20.598	-19.630
11.400	-20.977	-19.938
11.500	-21.329	-20.224
11.600	-21.650	-20.486
11.700	-21.960	-20.738
11.800	-22.246	-20.970
11.900	-22.503	-21.180
12.000	-22.758	-21.387
12.100	-22.994	-21.579
12.200	-23.218	-21.762
12.300	-23.445	-21.946
12.400	-23.652	-22.115
12.500	-23.854	-22.279
12.600	-24.048	-22.437
12.700	-24.236	-22.590
12.800	-24.422	-22.742
12.900	-24.600	-22.887
13.000	-24.762	-23.018
13.100	-24.918	-23.145
13.200	-25.082	-23.279
13.300	-25.249	-23.415
13.400	-25.414	-23.549
13.500	-25.562	-23.670
13.600	-25.711	-23.790
13.700	-25.862	-23.913
13.800	-26.013	-24.036
13.900	-26.179	-24.172
14.000	-27.155	-24.966
