# logMh	Muv	Muv_dust
8.000	-10.166	-10.162
8.100	-10.493	-10.490
8.200	-10.826	-10.822
8.300	-11.160	-11.155
8.400	-11.430	-11.426
8.500	-11.758	-11.753
8.600	-12.151	-12.146
8.700	-12.572	-12.567
8.800	-12.915	-12.909
8.900	-13.246	-13.239
9.000	-13.561	-13.553
9.100	-13.923	-13.913
9.200	-14.286	-14.275
9.300	-14.647	-14.633
9.400	-15.021	-15.004
9.500	-15.394	-15.373
9.600	-15.776	-15.749
9.700	-16.166	-16.131
9.800	-16.567	-16.521
9.900	-16.974	-16.913
10.000	-17.385	-17.305
10.100	-17.804	-17.698
10.200	-18.223	-18.082
10.300	-18.651	-18.464
10.400	-19.072	-18.828
10.500	-19.507	-19.188
10.600	-19.947	-19.535
10.700	-20.384	-19.872
10.800	-20.811	-20.201
10.900	-21.246	-20.536
11.000	-21.683	-20.872
11.100	-22.103	-21.195
11.200	-22.506	-21.506
11.300	-22.901	-21.810
11.400	-23.265	-22.090
11.500	-23.613	-22.358
11.600	-23.938	-22.609
11.700	-24.258	-22.855
11.800	-24.543	-23.075
11.900	-24.820	-23.288
12.000	-25.075	-23.484
12.100	-25.332	-23.682
12.200	-25.567	-23.863
12.300	-25.790	-24.035
12.400	-26.005	-24.200
12.500	-26.200	-24.351
12.600	-26.393	-24.499
12.700	-26.572	-24.637
12.800	-26.746	-24.771
12.900	-26.907	-24.896
13.000	-27.064	-25.016
13.100	-27.220	-25.136
13.200	-27.390	-25.267
13.300	-27.542	-25.384
13.400	-27.696	-25.503
13.500	-27.856	-25.626
13.600	-28.014	-25.748
13.700	-28.164	-25.863
13.800	-28.301	-25.968
13.900	-28.462	-26.093
14.000	-29.379	-26.799
