# logMh	Muv	Muv_dust
8.000	-8.886	-8.882
8.100	-9.217	-9.213
8.200	-9.546	-9.542
8.300	-9.886	-9.882
8.400	-10.154	-10.150
8.500	-10.492	-10.488
8.600	-10.887	-10.883
8.700	-11.316	-11.311
8.800	-11.669	-11.663
8.900	-11.994	-11.988
9.000	-12.316	-12.309
9.100	-12.674	-12.666
9.200	-13.043	-13.034
9.300	-13.411	-13.400
9.400	-13.785	-13.773
9.500	-14.161	-14.145
9.600	-14.545	-14.526
9.700	-14.939	-14.914
9.800	-15.334	-15.303
9.900	-15.733	-15.693
10.000	-16.139	-16.087
10.100	-16.559	-16.491
10.200	-16.987	-16.897
10.300	-17.412	-17.293
10.400	-17.836	-17.680
10.500	-18.274	-18.070
10.600	-18.710	-18.444
10.700	-19.148	-18.806
10.800	-19.581	-19.145
10.900	-20.022	-19.472
11.000	-20.463	-19.788
11.100	-20.884	-20.089
11.200	-21.298	-20.385
11.300	-21.688	-20.664
11.400	-22.048	-20.922
11.500	-22.394	-21.169
11.600	-22.715	-21.399
11.700	-23.025	-21.620
11.800	-23.315	-21.828
11.900	-23.584	-22.020
12.000	-23.838	-22.202
12.100	-24.092	-22.384
12.200	-24.330	-22.554
12.300	-24.549	-22.711
12.400	-24.770	-22.869
12.500	-24.968	-23.010
12.600	-25.160	-23.147
12.700	-25.345	-23.280
12.800	-25.528	-23.411
12.900	-25.701	-23.535
13.000	-25.867	-23.653
13.100	-26.030	-23.770
13.200	-26.195	-23.888
13.300	-26.359	-24.005
13.400	-26.501	-24.107
13.500	-26.640	-24.207
13.600	-26.783	-24.309
13.700	-26.926	-24.411
13.800	-27.088	-24.527
13.900	-27.262	-24.651
14.000	-28.240	-25.351
