# logMh	Muv	Muv_dust
8.000	-9.384	-9.380
8.100	-9.712	-9.709
8.200	-10.048	-10.045
8.300	-10.382	-10.378
8.400	-10.655	-10.651
8.500	-10.997	-10.993
8.600	-11.392	-11.387
8.700	-11.820	-11.815
8.800	-12.169	-12.164
8.900	-12.497	-12.492
9.000	-12.817	-12.811
9.100	-13.183	-13.176
9.200	-13.549	-13.541
9.300	-13.916	-13.907
9.400	-14.294	-14.283
9.500	-14.662	-14.648
9.600	-15.045	-15.028
9.700	-15.432	-15.410
9.800	-15.830	-15.802
9.900	-16.238	-16.201
10.000	-16.648	-16.599
10.100	-17.066	-17.002
10.200	-17.489	-17.403
10.300	-17.918	-17.803
10.400	-18.341	-18.189
10.500	-18.772	-18.570
10.600	-19.218	-18.951
10.700	-19.648	-19.301
10.800	-20.086	-19.643
10.900	-20.522	-19.978
11.000	-20.959	-20.314
11.100	-21.366	-20.628
11.200	-21.756	-20.928
11.300	-22.152	-21.233
11.400	-22.531	-21.525
11.500	-22.885	-21.798
11.600	-23.197	-22.038
11.700	-23.523	-22.289
11.800	-23.817	-22.515
11.900	-24.104	-22.737
12.000	-24.360	-22.934
12.100	-24.614	-23.130
12.200	-24.844	-23.306
12.300	-25.060	-23.473
12.400	-25.276	-23.639
12.500	-25.476	-23.793
12.600	-25.670	-23.943
12.700	-25.854	-24.084
12.800	-26.033	-24.223
12.900	-26.206	-24.355
13.000	-26.369	-24.481
13.100	-26.510	-24.589
13.200	-26.660	-24.705
13.300	-26.817	-24.826
13.400	-26.981	-24.952
13.500	-27.141	-25.076
13.600	-27.303	-25.200
13.700	-27.458	-25.319
13.800	-27.606	-25.434
13.900	-27.768	-25.558
14.000	-28.730	-26.299
