# logMh	Muv	Muv_dust
8.000	-7.319	-7.277
8.100	-7.645	-7.600
8.200	-7.979	-7.930
8.300	-8.321	-8.268
8.400	-8.589	-8.532
8.500	-8.929	-8.868
8.600	-9.327	-9.259
8.700	-9.758	-9.682
8.800	-10.109	-10.026
8.900	-10.435	-10.344
9.000	-10.750	-10.652
9.100	-11.108	-11.000
9.200	-11.475	-11.357
9.300	-11.832	-11.703
9.400	-12.206	-12.064
9.500	-12.580	-12.422
9.600	-12.950	-12.777
9.700	-13.347	-13.155
9.800	-13.744	-13.531
9.900	-14.145	-13.909
10.000	-14.557	-14.294
10.100	-14.972	-14.680
10.200	-15.395	-15.070
10.300	-15.825	-15.462
10.400	-16.231	-15.828
10.500	-16.677	-16.227
10.600	-17.106	-16.605
10.700	-17.550	-16.992
10.800	-17.970	-17.352
10.900	-18.423	-17.734
11.000	-18.849	-18.087
11.100	-19.283	-18.441
11.200	-19.689	-18.764
11.300	-20.076	-19.067
11.400	-20.449	-19.354
11.500	-20.794	-19.614
11.600	-21.121	-19.861
11.700	-21.420	-20.085
11.800	-21.709	-20.303
11.900	-21.969	-20.498
12.000	-22.213	-20.682
12.100	-22.460	-20.867
12.200	-22.690	-21.041
12.300	-22.913	-21.208
12.400	-23.127	-21.369
12.500	-23.326	-21.519
12.600	-23.519	-21.664
12.700	-23.710	-21.808
12.800	-23.900	-21.951
12.900	-24.062	-22.073
13.000	-24.229	-22.198
13.100	-24.386	-22.317
13.200	-24.552	-22.442
13.300	-24.718	-22.567
13.400	-24.876	-22.686
13.500	-25.028	-22.800
13.600	-25.181	-22.915
13.700	-25.331	-23.028
13.800	-25.476	-23.137
13.900	-25.638	-23.259
14.000	-26.623	-24.000
