# logMh	Muv	Muv_dust
8.000	-10.653	-10.649
8.100	-10.986	-10.982
8.200	-11.320	-11.315
8.300	-11.658	-11.653
8.400	-11.936	-11.931
8.500	-12.277	-12.272
8.600	-12.667	-12.662
8.700	-13.091	-13.084
8.800	-13.437	-13.430
8.900	-13.767	-13.758
9.000	-14.090	-14.080
9.100	-14.443	-14.431
9.200	-14.807	-14.792
9.300	-15.175	-15.157
9.400	-15.540	-15.516
9.500	-15.914	-15.884
9.600	-16.281	-16.243
9.700	-16.676	-16.627
9.800	-17.073	-17.008
9.900	-17.461	-17.377
10.000	-17.871	-17.759
10.100	-18.275	-18.130
10.200	-18.689	-18.498
10.300	-19.126	-18.874
10.400	-19.530	-19.207
10.500	-19.964	-19.549
10.600	-20.411	-19.893
10.700	-20.842	-20.224
10.800	-21.269	-20.553
10.900	-21.712	-20.895
11.000	-22.151	-21.232
11.100	-22.581	-21.564
11.200	-22.993	-21.881
11.300	-23.388	-22.186
11.400	-23.764	-22.475
11.500	-24.112	-22.743
11.600	-24.441	-22.996
11.700	-24.756	-23.239
11.800	-25.043	-23.459
11.900	-25.312	-23.667
12.000	-25.560	-23.858
12.100	-25.805	-24.046
12.200	-26.026	-24.217
12.300	-26.243	-24.384
12.400	-26.449	-24.542
12.500	-26.644	-24.693
12.600	-26.841	-24.845
12.700	-27.032	-24.992
12.800	-27.216	-25.133
12.900	-27.384	-25.263
13.000	-27.547	-25.388
13.100	-27.705	-25.510
13.200	-27.865	-25.633
13.300	-28.017	-25.750
13.400	-28.159	-25.859
13.500	-28.295	-25.964
13.600	-28.438	-26.074
13.700	-28.577	-26.182
13.800	-28.718	-26.290
13.900	-28.885	-26.419
14.000	-29.761	-27.093
