# logMh	Muv	Muv_dust
8.000	-10.553	-10.549
8.100	-10.880	-10.876
8.200	-11.203	-11.199
8.300	-11.536	-11.532
8.400	-11.803	-11.798
8.500	-12.147	-12.142
8.600	-12.531	-12.526
8.700	-12.953	-12.947
8.800	-13.303	-13.296
8.900	-13.631	-13.623
9.000	-13.954	-13.945
9.100	-14.314	-14.302
9.200	-14.675	-14.661
9.300	-15.040	-15.023
9.400	-15.416	-15.395
9.500	-15.793	-15.766
9.600	-16.175	-16.140
9.700	-16.564	-16.518
9.800	-16.966	-16.906
9.900	-17.362	-17.283
10.000	-17.769	-17.665
10.100	-18.190	-18.052
10.200	-18.606	-18.425
10.300	-19.038	-18.799
10.400	-19.457	-19.148
10.500	-19.875	-19.480
10.600	-20.321	-19.823
10.700	-20.754	-20.156
10.800	-21.175	-20.481
10.900	-21.609	-20.815
11.000	-22.034	-21.142
11.100	-22.462	-21.472
11.200	-22.868	-21.784
11.300	-23.254	-22.082
11.400	-23.632	-22.373
11.500	-23.985	-22.645
11.600	-24.319	-22.902
11.700	-24.642	-23.151
11.800	-24.937	-23.378
11.900	-25.213	-23.590
12.000	-25.467	-23.786
12.100	-25.712	-23.975
12.200	-25.947	-24.156
12.300	-26.161	-24.320
12.400	-26.372	-24.483
12.500	-26.558	-24.626
12.600	-26.743	-24.769
12.700	-26.914	-24.901
12.800	-27.096	-25.041
12.900	-27.257	-25.165
13.000	-27.421	-25.291
13.100	-27.583	-25.416
13.200	-27.756	-25.549
13.300	-27.921	-25.676
13.400	-28.078	-25.797
13.500	-28.225	-25.910
13.600	-28.364	-26.017
13.700	-28.513	-26.132
13.800	-28.644	-26.233
13.900	-28.777	-26.335
14.000	-29.666	-27.020
