# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-5.212	-23.028	-11.861
-24.900	-5.085	-21.783	-11.584
-24.800	-4.959	-20.658	-11.313
-24.700	-4.837	-19.632	-11.063
-24.600	-4.716	-18.691	-10.812
-24.500	-4.596	-17.839	-10.594
-24.400	-4.480	-17.037	-10.388
-24.300	-4.364	-16.279	-10.183
-24.200	-4.253	-15.608	-9.989
-24.100	-4.141	-14.979	-9.796
-24.000	-4.032	-14.391	-9.604
-23.900	-3.925	-13.854	-9.447
-23.800	-3.818	-13.334	-9.292
-23.700	-3.715	-12.845	-9.136
-23.600	-3.613	-12.416	-8.988
-23.500	-3.512	-12.018	-8.844
-23.400	-3.413	-11.652	-8.701
-23.300	-3.315	-11.292	-8.563
-23.200	-3.219	-10.964	-8.438
-23.100	-3.125	-10.638	-8.313
-23.000	-3.031	-10.370	-8.189
-22.900	-2.940	-10.103	-8.073
-22.800	-2.849	-9.849	-7.962
-22.700	-2.760	-9.599	-7.850
-22.600	-2.673	-9.376	-7.738
-22.500	-2.586	-9.173	-7.634
-22.400	-2.501	-8.971	-7.531
-22.300	-2.417	-8.784	-7.428
-22.200	-2.334	-8.598	-7.324
-22.100	-2.253	-8.421	-7.231
-22.000	-2.172	-8.259	-7.139
-21.900	-2.093	-8.097	-7.048
-21.800	-2.015	-7.946	-6.956
-21.700	-1.938	-7.801	-6.867
-21.600	-1.862	-7.656	-6.780
-21.500	-1.787	-7.518	-6.692
-21.400	-1.713	-7.385	-6.605
-21.300	-1.640	-7.251	-6.519
-21.200	-1.568	-7.126	-6.438
-21.100	-1.497	-7.007	-6.356
-21.000	-1.427	-6.887	-6.275
-20.900	-1.358	-6.770	-6.193
-20.800	-1.289	-6.657	-6.112
-20.700	-1.222	-6.543	-6.032
-20.600	-1.155	-6.430	-5.951
-20.500	-1.089	-6.324	-5.870
-20.400	-1.024	-6.219	-5.792
-20.300	-0.959	-6.113	-5.716
-20.200	-0.896	-6.007	-5.641
-20.100	-0.833	-5.902	-5.566
-20.000	-0.770	-5.797	-5.491
-19.900	-0.709	-5.694	-5.419
-19.800	-0.647	-5.597	-5.347
-19.700	-0.587	-5.501	-5.276
-19.600	-0.527	-5.404	-5.204
-19.500	-0.468	-5.315	-5.133
-19.400	-0.410	-5.228	-5.063
-19.300	-0.351	-5.140	-4.992
-19.200	-0.294	-5.056	-4.922
-19.100	-0.237	-4.976	-4.851
-19.000	-0.180	-4.895	-4.781
-18.900	-0.124	-4.815	-4.711
-18.800	-0.069	-4.738	-4.641
-18.700	-0.014	-4.661	-4.571
-18.600	0.041	-4.584	-4.506
-18.500	0.096	-4.508	-4.441
-18.400	0.149	-4.438	-4.376
-18.300	0.203	-4.369	-4.311
-18.200	0.256	-4.300	-4.247
-18.100	0.309	-4.231	-4.183
-18.000	0.362	-4.164	-4.119
-17.900	0.414	-4.097	-4.055
-17.800	0.466	-4.029	-3.991
-17.700	0.517	-3.963	-3.928
-17.600	0.568	-3.897	-3.864
-17.500	0.619	-3.831	-3.800
-17.400	0.670	-3.765	-3.737
-17.300	0.720	-3.700	-3.674
-17.200	0.770	-3.635	-3.611
-17.100	0.820	-3.570	-3.548
-17.000	0.869	-3.505	-3.485
-16.900	0.919	-3.442	-3.423
-16.800	0.968	-3.379	-3.361
-16.700	1.017	-3.316	-3.299
-16.600	1.065	-3.253	-3.240
-16.500	1.104	-3.195	-3.183
-16.400	1.127	-3.138	-3.127
-16.300	1.149	-3.081	-3.071
-16.200	nan	-3.024	-3.013
-16.100	nan	-2.965	-2.955
-16.000	nan	-2.905	-2.896
-15.900	nan	-2.846	-2.837
-15.800	nan	-2.787	-2.779
-15.700	nan	-2.729	-2.721
-15.600	nan	-2.671	-2.664
-15.500	nan	-2.613	-2.606
-15.400	nan	-2.555	-2.549
-15.300	nan	-2.497	-2.491
-15.200	nan	-2.439	-2.434
-15.100	nan	-2.382	-2.376
-15.000	nan	-2.328	-2.324
-14.900	nan	-2.276	-2.272
-14.800	nan	-2.224	-2.220
-14.700	nan	-2.172	-2.168
-14.600	nan	-2.117	-2.113
-14.500	nan	-2.062	-2.058
-14.400	nan	-2.007	-2.004
-14.300	nan	-1.953	-1.950
-14.200	nan	-1.901	-1.898
-14.100	nan	-1.848	-1.845
-14.000	nan	-1.796	-1.793
-13.900	nan	-1.745	-1.742
-13.800	nan	-1.694	-1.692
-13.700	nan	-1.644	-1.641
-13.600	nan	-1.591	-1.588
-13.500	nan	-1.530	-1.527
-13.400	nan	-1.470	-1.466
-13.300	nan	-1.409	-1.406
-13.200	nan	-1.351	-1.348
-13.100	nan	-1.294	-1.291
-13.000	nan	-1.237	-1.235
-12.900	nan	-1.195	-1.194
-12.800	nan	-1.158	-1.157
-12.700	nan	-1.121	-1.120
-12.600	nan	-1.087	-1.087
-12.500	nan	-1.062	-1.061
-12.400	nan	-1.037	-1.036
-12.300	nan	-1.012	-1.011
-12.200	nan	-0.980	-0.979
-12.100	nan	-0.948	-0.946
