# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-1.901	nan	-6.606
-24.900	-1.850	nan	-6.392
-24.800	-1.798	nan	-6.189
-24.700	-1.748	nan	-5.996
-24.600	-1.697	nan	-5.810
-24.500	-1.647	nan	-5.645
-24.400	-1.598	nan	-5.486
-24.300	-1.549	nan	-5.340
-24.200	-1.500	nan	-5.195
-24.100	-1.451	nan	-5.049
-24.000	-1.403	nan	-4.902
-23.900	-1.356	-9.242	-4.775
-23.800	-1.308	-8.808	-4.649
-23.700	-1.261	-8.369	-4.553
-23.600	-1.214	-7.976	-4.457
-23.500	-1.168	-7.616	-4.376
-23.400	-1.122	-7.282	-4.297
-23.300	-1.076	-6.960	-4.218
-23.200	-1.030	-6.654	-4.140
-23.100	-0.985	-6.372	-4.062
-23.000	-0.940	-6.111	-3.989
-22.900	-0.895	-5.863	-3.917
-22.800	-0.850	-5.631	-3.846
-22.700	-0.806	-5.428	-3.782
-22.600	-0.762	-5.237	-3.718
-22.500	-0.718	-5.052	-3.660
-22.400	-0.675	-4.864	-3.610
-22.300	-0.631	-4.692	-3.559
-22.200	-0.588	-4.533	-3.512
-22.100	-0.545	-4.411	-3.468
-22.000	-0.502	-4.297	-3.424
-21.900	-0.460	-4.196	-3.379
-21.800	-0.417	-4.096	-3.335
-21.700	-0.375	-3.996	-3.290
-21.600	-0.333	-3.900	-3.245
-21.500	-0.291	-3.807	-3.209
-21.400	-0.249	-3.719	-3.173
-21.300	-0.208	-3.637	-3.137
-21.200	-0.167	-3.560	-3.101
-21.100	-0.125	-3.496	-3.066
-21.000	-0.084	-3.431	-3.031
-20.900	-0.043	-3.374	-2.996
-20.800	-0.002	-3.317	-2.962
-20.700	0.038	-3.261	-2.928
-20.600	0.079	-3.204	-2.894
-20.500	0.119	-3.147	-2.861
-20.400	0.159	-3.098	-2.828
-20.300	0.200	-3.053	-2.797
-20.200	0.240	-3.007	-2.765
-20.100	0.280	-2.962	-2.734
-20.000	0.320	-2.917	-2.703
-19.900	0.359	-2.872	-2.671
-19.800	0.399	-2.830	-2.640
-19.700	0.439	-2.787	-2.608
-19.600	0.478	-2.744	-2.577
-19.500	0.517	-2.706	-2.546
-19.400	0.557	-2.668	-2.515
-19.300	0.596	-2.630	-2.484
-19.200	0.635	-2.593	-2.454
-19.100	0.674	-2.556	-2.423
-19.000	0.713	-2.520	-2.391
-18.900	0.752	-2.484	-2.360
-18.800	0.791	-2.449	-2.328
-18.700	0.830	-2.414	-2.298
-18.600	0.868	-2.379	-2.270
-18.500	0.907	-2.344	-2.242
-18.400	0.946	-2.309	-2.214
-18.300	0.984	-2.274	-2.186
-18.200	1.023	-2.239	-2.158
-18.100	1.061	-2.208	-2.130
-18.000	1.100	-2.177	-2.101
-17.900	1.138	-2.146	-2.073
-17.800	1.176	-2.116	-2.044
-17.700	1.214	-2.085	-2.013
-17.600	1.253	-2.055	-1.983
-17.500	1.291	-2.024	-1.952
-17.400	1.329	-1.993	-1.922
-17.300	1.367	-1.960	-1.891
-17.200	1.405	-1.927	-1.860
-17.100	1.443	-1.894	-1.830
-17.000	1.481	-1.862	-1.799
-16.900	1.519	-1.829	-1.770
-16.800	1.557	-1.796	-1.741
-16.700	1.594	-1.764	-1.713
-16.600	1.632	-1.732	-1.684
-16.500	1.657	-1.702	-1.656
-16.400	1.674	-1.672	-1.627
-16.300	nan	-1.642	-1.599
-16.200	nan	-1.612	-1.571
-16.100	nan	-1.582	-1.543
-16.000	nan	-1.553	-1.513
-15.900	nan	-1.523	-1.483
-15.800	nan	-1.493	-1.453
-15.700	nan	-1.461	-1.423
-15.600	nan	-1.430	-1.394
-15.500	nan	-1.399	-1.365
-15.400	nan	-1.369	-1.336
-15.300	nan	-1.339	-1.307
-15.200	nan	-1.308	-1.277
-15.100	nan	-1.278	-1.248
-15.000	nan	-1.248	-1.218
-14.900	nan	-1.218	-1.189
-14.800	nan	-1.187	-1.159
-14.700	nan	-1.157	-1.129
-14.600	nan	-1.126	-1.099
-14.500	nan	-1.095	-1.069
-14.400	nan	-1.064	-1.039
-14.300	nan	-1.034	-1.009
-14.200	nan	-1.003	-0.979
-14.100	nan	-0.972	-0.950
-14.000	nan	-0.942	-0.918
-13.900	nan	-0.910	-0.887
-13.800	nan	-0.878	-0.855
-13.700	nan	-0.846	-0.824
-13.600	nan	-0.813	-0.792
-13.500	nan	-0.781	-0.760
-13.400	nan	-0.748	-0.728
-13.300	nan	-0.716	-0.697
-13.200	nan	-0.684	-0.671
-13.100	nan	-0.657	-0.644
-13.000	nan	-0.630	-0.617
-12.900	nan	-0.603	-0.587
-12.800	nan	-0.572	-0.554
-12.700	nan	-0.539	-0.521
-12.600	nan	-0.505	-0.488
-12.500	nan	-0.472	-0.457
-12.400	nan	-0.440	-0.425
-12.300	nan	-0.408	-0.394
-12.200	nan	-0.376	-0.364
-12.100	nan	-0.347	-0.337
