# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-9.234	-32.066	-17.952
-24.900	-9.028	-30.581	-17.577
-24.800	-8.822	-29.201	-17.237
-24.700	-8.625	-27.961	-16.897
-24.600	-8.429	-26.784	-16.573
-24.500	-8.237	-25.685	-16.295
-24.400	-8.052	-24.667	-16.018
-24.300	-7.867	-23.698	-15.741
-24.200	-7.689	-22.848	-15.485
-24.100	-7.513	-22.026	-15.231
-24.000	-7.340	-21.258	-14.977
-23.900	-7.172	-20.567	-14.738
-23.800	-7.004	-19.926	-14.512
-23.700	-6.843	-19.316	-14.286
-23.600	-6.683	-18.721	-14.060
-23.500	-6.526	-18.201	-13.863
-23.400	-6.373	-17.707	-13.667
-23.300	-6.221	-17.245	-13.472
-23.200	-6.074	-16.803	-13.279
-23.100	-5.928	-16.393	-13.102
-23.000	-5.785	-16.032	-12.926
-22.900	-5.645	-15.672	-12.750
-22.800	-5.506	-15.337	-12.575
-22.700	-5.371	-15.007	-12.415
-22.600	-5.238	-14.685	-12.256
-22.500	-5.106	-14.391	-12.096
-22.400	-4.977	-14.097	-11.936
-22.300	-4.849	-13.822	-11.788
-22.200	-4.725	-13.568	-11.643
-22.100	-4.602	-13.314	-11.497
-22.000	-4.480	-13.073	-11.351
-21.900	-4.362	-12.844	-11.208
-21.800	-4.243	-12.615	-11.068
-21.700	-4.128	-12.395	-10.929
-21.600	-4.014	-12.187	-10.789
-21.500	-3.901	-11.980	-10.650
-21.400	-3.791	-11.775	-10.518
-21.300	-3.681	-11.585	-10.386
-21.200	-3.574	-11.396	-10.254
-21.100	-3.468	-11.207	-10.122
-21.000	-3.363	-11.023	-9.996
-20.900	-3.260	-10.842	-9.872
-20.800	-3.157	-10.661	-9.748
-20.700	-3.057	-10.483	-9.624
-20.600	-2.958	-10.312	-9.503
-20.500	-2.860	-10.140	-9.384
-20.400	-2.763	-9.969	-9.264
-20.300	-2.667	-9.808	-9.145
-20.200	-2.574	-9.647	-9.027
-20.100	-2.480	-9.487	-8.911
-20.000	-2.388	-9.330	-8.795
-19.900	-2.298	-9.176	-8.680
-19.800	-2.207	-9.022	-8.564
-19.700	-2.119	-8.870	-8.455
-19.600	-2.031	-8.723	-8.349
-19.500	-1.945	-8.576	-8.242
-19.400	-1.859	-8.430	-8.135
-19.300	-1.774	-8.302	-8.029
-19.200	-1.691	-8.175	-7.922
-19.100	-1.609	-8.047	-7.816
-19.000	-1.527	-7.923	-7.710
-18.900	-1.446	-7.802	-7.605
-18.800	-1.366	-7.681	-7.503
-18.700	-1.288	-7.560	-7.401
-18.600	-1.209	-7.448	-7.299
-18.500	-1.132	-7.336	-7.198
-18.400	-1.056	-7.224	-7.099
-18.300	-0.980	-7.113	-7.001
-18.200	-0.906	-7.007	-6.902
-18.100	-0.832	-6.902	-6.804
-18.000	-0.759	-6.796	-6.709
-17.900	-0.686	-6.693	-6.614
-17.800	-0.614	-6.593	-6.519
-17.700	-0.544	-6.493	-6.425
-17.600	-0.474	-6.393	-6.330
-17.500	-0.404	-6.295	-6.236
-17.400	-0.336	-6.197	-6.142
-17.300	-0.267	-6.098	-6.047
-17.200	-0.200	-6.001	-5.958
-17.100	-0.134	-5.910	-5.869
-17.000	-0.067	-5.818	-5.781
-16.900	-0.002	-5.727	-5.692
-16.800	0.063	-5.636	-5.604
-16.700	0.127	-5.546	-5.515
-16.600	0.190	-5.455	-5.427
-16.500	0.241	-5.365	-5.338
-16.400	0.270	-5.277	-5.254
-16.300	0.299	-5.192	-5.170
-16.200	nan	-5.106	-5.086
-16.100	nan	-5.020	-5.001
-16.000	nan	-4.933	-4.915
-15.900	nan	-4.846	-4.828
-15.800	nan	-4.758	-4.742
-15.700	nan	-4.672	-4.658
-15.600	nan	-4.592	-4.579
-15.500	nan	-4.511	-4.500
-15.400	nan	-4.431	-4.420
-15.300	nan	-4.352	-4.341
-15.200	nan	-4.272	-4.262
-15.100	nan	-4.193	-4.184
-15.000	nan	-4.114	-4.105
-14.900	nan	-4.034	-4.025
-14.800	nan	-3.954	-3.946
-14.700	nan	-3.874	-3.866
-14.600	nan	-3.796	-3.790
-14.500	nan	-3.723	-3.717
-14.400	nan	-3.649	-3.643
-14.300	nan	-3.576	-3.570
-14.200	nan	-3.493	-3.486
-14.100	nan	-3.406	-3.400
-14.000	nan	-3.319	-3.313
-13.900	nan	-3.234	-3.229
-13.800	nan	-3.154	-3.148
-13.700	nan	-3.073	-3.068
-13.600	nan	-2.996	-2.993
-13.500	nan	-2.934	-2.931
-13.400	nan	-2.872	-2.869
-13.300	nan	-2.810	-2.807
-13.200	nan	-2.760	-2.758
-13.100	nan	-2.713	-2.711
-13.000	nan	-2.667	-2.665
-12.900	nan	-2.620	-2.618
-12.800	nan	-2.571	-2.568
-12.700	nan	-2.521	-2.519
-12.600	nan	-2.472	-2.470
-12.500	nan	-2.423	-2.421
-12.400	nan	-2.351	-2.348
-12.300	nan	-2.265	-2.262
-12.200	nan	-2.180	-2.176
-12.100	nan	-2.095	-2.092
