# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-10.362	-33.922	-19.463
-24.900	-10.133	-32.268	-19.096
-24.800	-9.903	-30.851	-18.729
-24.700	-9.684	-29.530	-18.402
-24.600	-9.466	-28.283	-18.082
-24.500	-9.253	-27.170	-17.762
-24.400	-9.047	-26.148	-17.464
-24.300	-8.841	-25.182	-17.182
-24.200	-8.644	-24.344	-16.899
-24.100	-8.448	-23.526	-16.621
-24.000	-8.256	-22.797	-16.372
-23.900	-8.070	-22.079	-16.123
-23.800	-7.885	-21.425	-15.874
-23.700	-7.707	-20.790	-15.635
-23.600	-7.530	-20.246	-15.408
-23.500	-7.356	-19.702	-15.181
-23.400	-7.188	-19.223	-14.954
-23.300	-7.020	-18.746	-14.744
-23.200	-6.858	-18.307	-14.542
-23.100	-6.698	-17.891	-14.340
-23.000	-6.540	-17.481	-14.138
-22.900	-6.387	-17.114	-13.951
-22.800	-6.234	-16.747	-13.770
-22.700	-6.087	-16.399	-13.589
-22.600	-5.940	-16.076	-13.408
-22.500	-5.796	-15.752	-13.234
-22.400	-5.656	-15.447	-13.065
-22.300	-5.516	-15.152	-12.896
-22.200	-5.381	-14.857	-12.727
-22.100	-5.247	-14.585	-12.560
-22.000	-5.115	-14.322	-12.401
-21.900	-4.986	-14.060	-12.241
-21.800	-4.857	-13.816	-12.081
-21.700	-4.733	-13.581	-11.922
-21.600	-4.610	-13.346	-11.774
-21.500	-4.488	-13.118	-11.626
-21.400	-4.369	-12.898	-11.478
-21.300	-4.250	-12.678	-11.330
-21.200	-4.135	-12.461	-11.186
-21.100	-4.021	-12.253	-11.043
-21.000	-3.908	-12.046	-10.900
-20.900	-3.798	-11.839	-10.757
-20.800	-3.688	-11.645	-10.620
-20.700	-3.581	-11.453	-10.488
-20.600	-3.475	-11.261	-10.356
-20.500	-3.370	-11.072	-10.224
-20.400	-3.267	-10.887	-10.093
-20.300	-3.165	-10.701	-9.966
-20.200	-3.065	-10.520	-9.839
-20.100	-2.966	-10.348	-9.713
-20.000	-2.868	-10.177	-9.586
-19.900	-2.772	-10.006	-9.462
-19.800	-2.676	-9.842	-9.338
-19.700	-2.583	-9.679	-9.215
-19.600	-2.490	-9.516	-9.091
-19.500	-2.398	-9.358	-8.970
-19.400	-2.308	-9.205	-8.852
-19.300	-2.218	-9.052	-8.734
-19.200	-2.130	-8.903	-8.616
-19.100	-2.043	-8.765	-8.502
-19.000	-1.956	-8.627	-8.394
-18.900	-1.871	-8.489	-8.287
-18.800	-1.786	-8.366	-8.179
-18.700	-1.703	-8.245	-8.071
-18.600	-1.621	-8.124	-7.962
-18.500	-1.539	-8.004	-7.853
-18.400	-1.459	-7.885	-7.744
-18.300	-1.378	-7.766	-7.635
-18.200	-1.300	-7.647	-7.532
-18.100	-1.221	-7.533	-7.428
-18.000	-1.144	-7.422	-7.324
-17.900	-1.067	-7.311	-7.220
-17.800	-0.991	-7.200	-7.119
-17.700	-0.916	-7.093	-7.018
-17.600	-0.842	-6.987	-6.917
-17.500	-0.768	-6.881	-6.815
-17.400	-0.695	-6.775	-6.717
-17.300	-0.622	-6.674	-6.620
-17.200	-0.551	-6.572	-6.522
-17.100	-0.480	-6.471	-6.425
-17.000	-0.409	-6.371	-6.330
-16.900	-0.340	-6.274	-6.235
-16.800	-0.270	-6.177	-6.140
-16.700	-0.202	-6.079	-6.046
-16.600	-0.134	-5.983	-5.952
-16.500	-0.079	-5.887	-5.859
-16.400	-0.048	-5.792	-5.765
-16.300	-0.018	-5.697	-5.672
-16.200	nan	-5.605	-5.583
-16.100	nan	-5.514	-5.494
-16.000	nan	-5.424	-5.405
-15.900	nan	-5.334	-5.316
-15.800	nan	-5.246	-5.230
-15.700	nan	-5.158	-5.143
-15.600	nan	-5.070	-5.056
-15.500	nan	-4.983	-4.970
-15.400	nan	-4.897	-4.885
-15.300	nan	-4.812	-4.800
-15.200	nan	-4.726	-4.715
-15.100	nan	-4.640	-4.630
-15.000	nan	-4.555	-4.545
-14.900	nan	-4.469	-4.460
-14.800	nan	-4.384	-4.376
-14.700	nan	-4.304	-4.296
-14.600	nan	-4.224	-4.216
-14.500	nan	-4.143	-4.136
-14.400	nan	-4.059	-4.052
-14.300	nan	-3.971	-3.963
-14.200	nan	-3.882	-3.875
-14.100	nan	-3.793	-3.786
-14.000	nan	-3.704	-3.697
-13.900	nan	-3.615	-3.608
-13.800	nan	-3.525	-3.520
-13.700	nan	-3.458	-3.454
-13.600	nan	-3.391	-3.387
-13.500	nan	-3.324	-3.320
-13.400	nan	-3.263	-3.260
-13.300	nan	-3.209	-3.207
-13.200	nan	-3.156	-3.154
-13.100	nan	-3.104	-3.101
-13.000	nan	-3.054	-3.052
-12.900	nan	-3.004	-3.002
-12.800	nan	-2.954	-2.952
-12.700	nan	-2.905	-2.903
-12.600	nan	-2.840	-2.835
-12.500	nan	-2.745	-2.740
-12.400	nan	-2.650	-2.645
-12.300	nan	-2.555	-2.552
-12.200	nan	-2.478	-2.474
-12.100	nan	-2.400	-2.397
