# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-2.489	nan	-7.638
-24.900	-2.423	nan	-7.413
-24.800	-2.357	nan	-7.215
-24.700	-2.293	nan	-7.023
-24.600	-2.229	nan	-6.848
-24.500	-2.167	nan	-6.679
-24.400	-2.105	nan	-6.519
-24.300	-2.043	nan	-6.365
-24.200	-1.984	-13.988	-6.215
-24.100	-1.924	-13.161	-6.080
-24.000	-1.865	-12.272	-5.944
-23.900	-1.807	-11.553	-5.818
-23.800	-1.749	-10.939	-5.693
-23.700	-1.692	-10.349	-5.571
-23.600	-1.635	-9.791	-5.455
-23.500	-1.580	-9.298	-5.340
-23.400	-1.524	-8.847	-5.236
-23.300	-1.469	-8.433	-5.138
-23.200	-1.415	-8.052	-5.041
-23.100	-1.361	-7.707	-4.954
-23.000	-1.308	-7.388	-4.869
-22.900	-1.255	-7.096	-4.784
-22.800	-1.202	-6.828	-4.708
-22.700	-1.150	-6.591	-4.633
-22.600	-1.098	-6.364	-4.557
-22.500	-1.047	-6.149	-4.482
-22.400	-0.996	-5.954	-4.406
-22.300	-0.945	-5.765	-4.330
-22.200	-0.895	-5.591	-4.262
-22.100	-0.845	-5.420	-4.206
-22.000	-0.795	-5.258	-4.149
-21.900	-0.746	-5.105	-4.092
-21.800	-0.696	-4.969	-4.039
-21.700	-0.648	-4.839	-3.986
-21.600	-0.599	-4.720	-3.933
-21.500	-0.551	-4.605	-3.881
-21.400	-0.503	-4.500	-3.832
-21.300	-0.456	-4.395	-3.784
-21.200	-0.408	-4.288	-3.735
-21.100	-0.361	-4.182	-3.687
-21.000	-0.314	-4.093	-3.641
-20.900	-0.268	-4.013	-3.596
-20.800	-0.221	-3.934	-3.550
-20.700	-0.175	-3.860	-3.504
-20.600	-0.129	-3.787	-3.460
-20.500	-0.084	-3.715	-3.416
-20.400	-0.038	-3.647	-3.373
-20.300	0.007	-3.579	-3.329
-20.200	0.052	-3.514	-3.286
-20.100	0.097	-3.450	-3.245
-20.000	0.141	-3.386	-3.203
-19.900	0.186	-3.324	-3.162
-19.800	0.230	-3.263	-3.120
-19.700	0.274	-3.203	-3.078
-19.600	0.318	-3.145	-3.036
-19.500	0.362	-3.092	-2.994
-19.400	0.405	-3.039	-2.952
-19.300	0.448	-2.987	-2.913
-19.200	0.491	-2.939	-2.875
-19.100	0.534	-2.890	-2.836
-19.000	0.577	-2.842	-2.798
-18.900	0.620	-2.800	-2.760
-18.800	0.662	-2.758	-2.723
-18.700	0.705	-2.717	-2.685
-18.600	0.747	-2.676	-2.648
-18.500	0.789	-2.636	-2.610
-18.400	0.831	-2.597	-2.572
-18.300	0.873	-2.557	-2.534
-18.200	0.914	-2.518	-2.496
-18.100	0.956	-2.478	-2.458
-18.000	0.997	-2.438	-2.420
-17.900	1.039	-2.398	-2.382
-17.800	1.080	-2.359	-2.344
-17.700	1.121	-2.320	-2.306
-17.600	1.162	-2.281	-2.269
-17.500	1.203	-2.242	-2.234
-17.400	1.244	-2.206	-2.199
-17.300	1.284	-2.171	-2.163
-17.200	1.325	-2.135	-2.128
-17.100	1.365	-2.099	-2.095
-17.000	1.406	-2.066	-2.062
-16.900	1.446	-2.033	-2.029
-16.800	1.486	-1.999	-1.996
-16.700	1.526	-1.965	-1.960
-16.600	1.566	-1.929	-1.923
-16.500	1.592	-1.892	-1.887
-16.400	1.611	-1.855	-1.850
-16.300	nan	-1.818	-1.814
-16.200	nan	-1.781	-1.777
-16.100	nan	-1.745	-1.741
-16.000	nan	-1.708	-1.704
-15.900	nan	-1.671	-1.669
-15.800	nan	-1.637	-1.634
-15.700	nan	-1.602	-1.599
-15.600	nan	-1.567	-1.565
-15.500	nan	-1.533	-1.531
-15.400	nan	-1.499	-1.497
-15.300	nan	-1.464	-1.463
-15.200	nan	-1.430	-1.429
-15.100	nan	-1.396	-1.394
-15.000	nan	-1.362	-1.360
-14.900	nan	-1.327	-1.326
-14.800	nan	-1.293	-1.291
-14.700	nan	-1.258	-1.256
-14.600	nan	-1.223	-1.221
-14.500	nan	-1.187	-1.186
-14.400	nan	-1.152	-1.150
-14.300	nan	-1.117	-1.115
-14.200	nan	-1.082	-1.081
-14.100	nan	-1.048	-1.046
-14.000	nan	-1.013	-1.011
-13.900	nan	-0.980	-0.978
-13.800	nan	-0.947	-0.945
-13.700	nan	-0.914	-0.912
-13.600	nan	-0.881	-0.879
-13.500	nan	-0.846	-0.844
-13.400	nan	-0.811	-0.810
-13.300	nan	-0.776	-0.775
-13.200	nan	-0.741	-0.740
-13.100	nan	-0.706	-0.705
-13.000	nan	-0.671	-0.670
-12.900	nan	-0.636	-0.635
-12.800	nan	-0.602	-0.601
-12.700	nan	-0.568	-0.567
-12.600	nan	-0.535	-0.533
-12.500	nan	-0.500	-0.498
-12.400	nan	-0.455	-0.453
-12.300	nan	-0.410	-0.408
-12.200	nan	-0.366	-0.364
-12.100	nan	-0.323	-0.322
