# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-6.219	-24.614	-13.133
-24.900	-6.074	-23.362	-12.831
-24.800	-5.929	-22.195	-12.561
-24.700	-5.791	-21.169	-12.313
-24.600	-5.653	-20.212	-12.065
-24.500	-5.517	-19.314	-11.834
-24.400	-5.386	-18.488	-11.608
-24.300	-5.255	-17.702	-11.382
-24.200	-5.128	-16.956	-11.190
-24.100	-5.003	-16.313	-11.004
-24.000	-4.880	-15.713	-10.819
-23.900	-4.760	-15.150	-10.642
-23.800	-4.640	-14.661	-10.473
-23.700	-4.525	-14.185	-10.303
-23.600	-4.410	-13.743	-10.136
-23.500	-4.297	-13.308	-9.988
-23.400	-4.187	-12.915	-9.840
-23.300	-4.078	-12.535	-9.693
-23.200	-3.972	-12.214	-9.552
-23.100	-3.866	-11.892	-9.420
-23.000	-3.762	-11.598	-9.289
-22.900	-3.661	-11.305	-9.157
-22.800	-3.559	-11.051	-9.032
-22.700	-3.461	-10.810	-8.912
-22.600	-3.364	-10.574	-8.793
-22.500	-3.268	-10.354	-8.673
-22.400	-3.174	-10.133	-8.558
-22.300	-3.080	-9.930	-8.448
-22.200	-2.989	-9.738	-8.338
-22.100	-2.898	-9.546	-8.228
-22.000	-2.808	-9.370	-8.121
-21.900	-2.721	-9.198	-8.021
-21.800	-2.633	-9.027	-7.920
-21.700	-2.548	-8.868	-7.819
-21.600	-2.464	-8.713	-7.718
-21.500	-2.380	-8.557	-7.621
-21.400	-2.298	-8.410	-7.524
-21.300	-2.216	-8.267	-7.427
-21.200	-2.136	-8.124	-7.330
-21.100	-2.056	-7.987	-7.235
-21.000	-1.978	-7.856	-7.141
-20.900	-1.901	-7.725	-7.047
-20.800	-1.823	-7.594	-6.953
-20.700	-1.748	-7.468	-6.861
-20.600	-1.673	-7.342	-6.774
-20.500	-1.599	-7.216	-6.687
-20.400	-1.526	-7.093	-6.601
-20.300	-1.453	-6.971	-6.514
-20.200	-1.382	-6.849	-6.433
-20.100	-1.311	-6.730	-6.352
-20.000	-1.240	-6.618	-6.271
-19.900	-1.171	-6.505	-6.190
-19.800	-1.102	-6.393	-6.108
-19.700	-1.034	-6.290	-6.024
-19.600	-0.966	-6.187	-5.940
-19.500	-0.899	-6.084	-5.856
-19.400	-0.833	-5.983	-5.773
-19.300	-0.767	-5.883	-5.692
-19.200	-0.702	-5.782	-5.611
-19.100	-0.638	-5.684	-5.531
-19.000	-0.574	-5.593	-5.451
-18.900	-0.511	-5.502	-5.379
-18.800	-0.448	-5.411	-5.306
-18.700	-0.386	-5.329	-5.234
-18.600	-0.324	-5.250	-5.162
-18.500	-0.262	-5.171	-5.090
-18.400	-0.202	-5.092	-5.018
-18.300	-0.141	-5.015	-4.946
-18.200	-0.081	-4.938	-4.874
-18.100	-0.022	-4.862	-4.803
-18.000	0.037	-4.785	-4.731
-17.900	0.096	-4.710	-4.660
-17.800	0.154	-4.635	-4.588
-17.700	0.212	-4.560	-4.518
-17.600	0.269	-4.487	-4.449
-17.500	0.326	-4.416	-4.381
-17.400	0.383	-4.345	-4.312
-17.300	0.439	-4.273	-4.244
-17.200	0.495	-4.204	-4.178
-17.100	0.550	-4.136	-4.111
-17.000	0.606	-4.068	-4.045
-16.900	0.660	-4.000	-3.979
-16.800	0.715	-3.933	-3.914
-16.700	0.769	-3.866	-3.848
-16.600	0.823	-3.800	-3.783
-16.500	0.866	-3.733	-3.718
-16.400	0.891	-3.668	-3.654
-16.300	0.916	-3.603	-3.590
-16.200	nan	-3.538	-3.526
-16.100	nan	-3.474	-3.462
-16.000	nan	-3.409	-3.398
-15.900	nan	-3.345	-3.335
-15.800	nan	-3.281	-3.271
-15.700	nan	-3.217	-3.208
-15.600	nan	-3.154	-3.146
-15.500	nan	-3.091	-3.083
-15.400	nan	-3.028	-3.020
-15.300	nan	-2.968	-2.962
-15.200	nan	-2.910	-2.904
-15.100	nan	-2.852	-2.846
-15.000	nan	-2.794	-2.788
-14.900	nan	-2.733	-2.728
-14.800	nan	-2.673	-2.668
-14.700	nan	-2.613	-2.608
-14.600	nan	-2.553	-2.548
-14.500	nan	-2.494	-2.490
-14.400	nan	-2.436	-2.431
-14.300	nan	-2.377	-2.373
-14.200	nan	-2.321	-2.318
-14.100	nan	-2.267	-2.263
-14.000	nan	-2.212	-2.209
-13.900	nan	-2.156	-2.152
-13.800	nan	-2.091	-2.087
-13.700	nan	-2.025	-2.021
-13.600	nan	-1.960	-1.956
-13.500	nan	-1.895	-1.892
-13.400	nan	-1.832	-1.829
-13.300	nan	-1.769	-1.766
-13.200	nan	-1.715	-1.713
-13.100	nan	-1.670	-1.668
-13.000	nan	-1.624	-1.622
-12.900	nan	-1.579	-1.578
-12.800	nan	-1.549	-1.548
-12.700	nan	-1.518	-1.517
-12.600	nan	-1.488	-1.487
-12.500	nan	-1.454	-1.453
-12.400	nan	-1.418	-1.417
-12.300	nan	-1.382	-1.381
-12.200	nan	-1.346	-1.345
-12.100	nan	-1.310	-1.309
