# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-2.189	nan	-6.746
-24.900	-2.131	nan	-6.554
-24.800	-2.073	nan	-6.368
-24.700	-2.016	nan	-6.203
-24.600	-1.960	nan	-6.045
-24.500	-1.904	nan	-5.891
-24.400	-1.849	nan	-5.739
-24.300	-1.793	nan	-5.603
-24.200	-1.739	nan	-5.473
-24.100	-1.685	nan	-5.353
-24.000	-1.632	nan	-5.239
-23.900	-1.579	-10.728	-5.129
-23.800	-1.526	-10.162	-5.027
-23.700	-1.474	-9.623	-4.925
-23.600	-1.422	-9.132	-4.832
-23.500	-1.371	-8.663	-4.740
-23.400	-1.320	-8.197	-4.650
-23.300	-1.270	-7.761	-4.564
-23.200	-1.220	-7.344	-4.478
-23.100	-1.170	-6.988	-4.403
-23.000	-1.120	-6.689	-4.330
-22.900	-1.071	-6.417	-4.256
-22.800	-1.022	-6.160	-4.192
-22.700	-0.974	-5.938	-4.128
-22.600	-0.926	-5.722	-4.066
-22.500	-0.878	-5.516	-4.014
-22.400	-0.830	-5.334	-3.962
-22.300	-0.783	-5.168	-3.910
-22.200	-0.736	-5.010	-3.859
-22.100	-0.689	-4.867	-3.808
-22.000	-0.643	-4.729	-3.757
-21.900	-0.596	-4.600	-3.709
-21.800	-0.550	-4.476	-3.664
-21.700	-0.504	-4.356	-3.618
-21.600	-0.459	-4.247	-3.573
-21.500	-0.413	-4.145	-3.531
-21.400	-0.368	-4.051	-3.490
-21.300	-0.323	-3.962	-3.449
-21.200	-0.278	-3.883	-3.408
-21.100	-0.234	-3.810	-3.369
-21.000	-0.189	-3.738	-3.330
-20.900	-0.145	-3.667	-3.291
-20.800	-0.101	-3.596	-3.252
-20.700	-0.057	-3.531	-3.214
-20.600	-0.014	-3.468	-3.177
-20.500	0.030	-3.406	-3.139
-20.400	0.073	-3.348	-3.102
-20.300	0.117	-3.291	-3.065
-20.200	0.160	-3.235	-3.029
-20.100	0.203	-3.180	-2.993
-20.000	0.245	-3.126	-2.957
-19.900	0.288	-3.073	-2.921
-19.800	0.331	-3.021	-2.885
-19.700	0.373	-2.969	-2.848
-19.600	0.415	-2.920	-2.812
-19.500	0.457	-2.874	-2.775
-19.400	0.500	-2.828	-2.740
-19.300	0.542	-2.783	-2.704
-19.200	0.583	-2.741	-2.669
-19.100	0.625	-2.698	-2.634
-19.000	0.667	-2.657	-2.599
-18.900	0.708	-2.617	-2.565
-18.800	0.750	-2.578	-2.531
-18.700	0.791	-2.539	-2.497
-18.600	0.832	-2.501	-2.463
-18.500	0.873	-2.465	-2.430
-18.400	0.914	-2.429	-2.397
-18.300	0.955	-2.392	-2.363
-18.200	0.996	-2.357	-2.330
-18.100	1.037	-2.322	-2.295
-18.000	1.078	-2.286	-2.260
-17.900	1.118	-2.251	-2.225
-17.800	1.159	-2.214	-2.189
-17.700	1.199	-2.177	-2.155
-17.600	1.240	-2.140	-2.120
-17.500	1.280	-2.104	-2.085
-17.400	1.320	-2.068	-2.051
-17.300	1.361	-2.032	-2.016
-17.200	1.401	-1.997	-1.984
-17.100	1.441	-1.962	-1.951
-17.000	1.481	-1.929	-1.918
-16.900	1.521	-1.896	-1.886
-16.800	1.561	-1.862	-1.855
-16.700	1.601	-1.831	-1.825
-16.600	1.640	-1.801	-1.795
-16.500	1.666	-1.770	-1.765
-16.400	1.685	-1.740	-1.732
-16.300	nan	-1.706	-1.698
-16.200	nan	-1.672	-1.664
-16.100	nan	-1.638	-1.630
-16.000	nan	-1.604	-1.599
-15.900	nan	-1.572	-1.568
-15.800	nan	-1.541	-1.537
-15.700	nan	-1.510	-1.506
-15.600	nan	-1.479	-1.473
-15.500	nan	-1.445	-1.440
-15.400	nan	-1.411	-1.406
-15.300	nan	-1.377	-1.372
-15.200	nan	-1.344	-1.340
-15.100	nan	-1.313	-1.310
-15.000	nan	-1.282	-1.279
-14.900	nan	-1.251	-1.248
-14.800	nan	-1.219	-1.216
-14.700	nan	-1.187	-1.184
-14.600	nan	-1.154	-1.151
-14.500	nan	-1.121	-1.118
-14.400	nan	-1.089	-1.086
-14.300	nan	-1.056	-1.054
-14.200	nan	-1.024	-1.021
-14.100	nan	-0.991	-0.989
-14.000	nan	-0.958	-0.955
-13.900	nan	-0.923	-0.920
-13.800	nan	-0.889	-0.886
-13.700	nan	-0.854	-0.851
-13.600	nan	-0.823	-0.821
-13.500	nan	-0.793	-0.791
-13.400	nan	-0.763	-0.761
-13.300	nan	-0.733	-0.731
-13.200	nan	-0.698	-0.696
-13.100	nan	-0.663	-0.661
-13.000	nan	-0.628	-0.626
-12.900	nan	-0.595	-0.593
-12.800	nan	-0.563	-0.562
-12.700	nan	-0.532	-0.530
-12.600	nan	-0.500	-0.499
-12.500	nan	-0.467	-0.465
-12.400	nan	-0.433	-0.431
-12.300	nan	-0.399	-0.398
-12.200	nan	-0.364	-0.362
-12.100	nan	-0.322	-0.320
