# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-3.298	-18.101	-8.587
-24.900	-3.214	-17.068	-8.375
-24.800	-3.131	-16.123	-8.173
-24.700	-3.051	-15.233	-7.979
-24.600	-2.971	-14.356	-7.798
-24.500	-2.892	-13.504	-7.617
-24.400	-2.815	-12.756	-7.464
-24.300	-2.738	-12.150	-7.311
-24.200	-2.663	-11.587	-7.160
-24.100	-2.589	-11.063	-7.013
-24.000	-2.515	-10.575	-6.866
-23.900	-2.443	-10.132	-6.734
-23.800	-2.371	-9.737	-6.607
-23.700	-2.301	-9.363	-6.481
-23.600	-2.231	-9.014	-6.374
-23.500	-2.162	-8.696	-6.269
-23.400	-2.095	-8.394	-6.164
-23.300	-2.027	-8.131	-6.071
-23.200	-1.961	-7.876	-5.979
-23.100	-1.895	-7.641	-5.887
-23.000	-1.830	-7.421	-5.796
-22.900	-1.766	-7.222	-5.707
-22.800	-1.702	-7.027	-5.617
-22.700	-1.640	-6.836	-5.529
-22.600	-1.577	-6.654	-5.451
-22.500	-1.516	-6.490	-5.373
-22.400	-1.455	-6.331	-5.295
-22.300	-1.394	-6.195	-5.222
-22.200	-1.334	-6.059	-5.151
-22.100	-1.275	-5.937	-5.081
-22.000	-1.216	-5.817	-5.011
-21.900	-1.158	-5.698	-4.946
-21.800	-1.100	-5.582	-4.883
-21.700	-1.043	-5.466	-4.820
-21.600	-0.986	-5.360	-4.756
-21.500	-0.930	-5.258	-4.696
-21.400	-0.874	-5.157	-4.636
-21.300	-0.819	-5.065	-4.576
-21.200	-0.764	-4.974	-4.516
-21.100	-0.709	-4.883	-4.457
-21.000	-0.655	-4.801	-4.399
-20.900	-0.602	-4.718	-4.340
-20.800	-0.548	-4.636	-4.282
-20.700	-0.495	-4.558	-4.229
-20.600	-0.442	-4.480	-4.178
-20.500	-0.390	-4.402	-4.128
-20.400	-0.338	-4.326	-4.077
-20.300	-0.287	-4.250	-4.026
-20.200	-0.236	-4.175	-3.974
-20.100	-0.185	-4.106	-3.921
-20.000	-0.134	-4.040	-3.869
-19.900	-0.084	-3.974	-3.816
-19.800	-0.034	-3.908	-3.767
-19.700	0.016	-3.842	-3.718
-19.600	0.066	-3.776	-3.670
-19.500	0.115	-3.709	-3.621
-19.400	0.164	-3.652	-3.573
-19.300	0.213	-3.596	-3.527
-19.200	0.261	-3.539	-3.480
-19.100	0.309	-3.486	-3.433
-19.000	0.357	-3.435	-3.386
-18.900	0.405	-3.384	-3.338
-18.800	0.452	-3.334	-3.290
-18.700	0.500	-3.283	-3.242
-18.600	0.547	-3.232	-3.194
-18.500	0.594	-3.181	-3.147
-18.400	0.640	-3.130	-3.099
-18.300	0.687	-3.080	-3.052
-18.200	0.733	-3.030	-3.004
-18.100	0.779	-2.981	-2.958
-18.000	0.825	-2.932	-2.914
-17.900	0.871	-2.887	-2.871
-17.800	0.916	-2.842	-2.827
-17.700	0.962	-2.797	-2.784
-17.600	1.007	-2.753	-2.742
-17.500	1.052	-2.711	-2.701
-17.400	1.097	-2.669	-2.660
-17.300	1.142	-2.627	-2.619
-17.200	1.186	-2.584	-2.574
-17.100	1.231	-2.540	-2.530
-17.000	1.275	-2.495	-2.486
-16.900	1.319	-2.450	-2.442
-16.800	1.364	-2.405	-2.398
-16.700	1.407	-2.362	-2.356
-16.600	1.451	-2.319	-2.313
-16.500	1.479	-2.276	-2.270
-16.400	1.500	-2.233	-2.228
-16.300	nan	-2.190	-2.186
-16.200	nan	-2.148	-2.144
-16.100	nan	-2.106	-2.102
-16.000	nan	-2.064	-2.061
-15.900	nan	-2.023	-2.019
-15.800	nan	-1.982	-1.978
-15.700	nan	-1.940	-1.937
-15.600	nan	-1.898	-1.895
-15.500	nan	-1.856	-1.853
-15.400	nan	-1.813	-1.810
-15.300	nan	-1.771	-1.768
-15.200	nan	-1.728	-1.725
-15.100	nan	-1.686	-1.684
-15.000	nan	-1.644	-1.642
-14.900	nan	-1.602	-1.600
-14.800	nan	-1.560	-1.558
-14.700	nan	-1.518	-1.515
-14.600	nan	-1.475	-1.473
-14.500	nan	-1.433	-1.430
-14.400	nan	-1.394	-1.393
-14.300	nan	-1.356	-1.355
-14.200	nan	-1.318	-1.317
-14.100	nan	-1.280	-1.279
-14.000	nan	-1.241	-1.239
-13.900	nan	-1.201	-1.199
-13.800	nan	-1.161	-1.159
-13.700	nan	-1.121	-1.120
-13.600	nan	-1.082	-1.081
-13.500	nan	-1.043	-1.041
-13.400	nan	-1.004	-1.002
-13.300	nan	-0.964	-0.962
-13.200	nan	-0.924	-0.922
-13.100	nan	-0.884	-0.882
-13.000	nan	-0.842	-0.840
-12.900	nan	-0.794	-0.792
-12.800	nan	-0.745	-0.743
-12.700	nan	-0.697	-0.695
-12.600	nan	-0.650	-0.648
-12.500	nan	-0.604	-0.602
-12.400	nan	-0.559	-0.557
-12.300	nan	-0.523	-0.522
-12.200	nan	-0.495	-0.494
-12.100	nan	-0.466	-0.466
