# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-1.577	nan	-5.897
-24.900	-1.535	nan	-5.749
-24.800	-1.493	nan	-5.577
-24.700	-1.452	nan	-5.423
-24.600	-1.410	nan	-5.271
-24.500	-1.369	nan	-5.124
-24.400	-1.327	nan	-4.974
-24.300	-1.286	nan	-4.826
-24.200	-1.245	nan	-4.692
-24.100	-1.204	nan	-4.571
-24.000	-1.164	nan	-4.459
-23.900	-1.123	nan	-4.361
-23.800	-1.083	nan	-4.267
-23.700	-1.042	nan	-4.179
-23.600	-1.002	nan	-4.091
-23.500	-0.962	nan	-4.006
-23.400	-0.922	nan	-3.924
-23.300	-0.882	nan	-3.847
-23.200	-0.843	nan	-3.773
-23.100	-0.803	nan	-3.705
-23.000	-0.763	nan	-3.637
-22.900	-0.724	nan	-3.572
-22.800	-0.684	-5.805	-3.509
-22.700	-0.645	-5.617	-3.452
-22.600	-0.606	-5.395	-3.395
-22.500	-0.567	-5.191	-3.345
-22.400	-0.528	-4.995	-3.296
-22.300	-0.489	-4.796	-3.246
-22.200	-0.450	-4.610	-3.196
-22.100	-0.411	-4.445	-3.146
-22.000	-0.372	-4.300	-3.100
-21.900	-0.333	-4.173	-3.053
-21.800	-0.295	-4.054	-3.011
-21.700	-0.256	-3.939	-2.973
-21.600	-0.218	-3.826	-2.936
-21.500	-0.179	-3.723	-2.902
-21.400	-0.141	-3.627	-2.870
-21.300	-0.102	-3.536	-2.837
-21.200	-0.064	-3.450	-2.805
-21.100	-0.026	-3.367	-2.773
-21.000	0.013	-3.292	-2.741
-20.900	0.051	-3.223	-2.712
-20.800	0.089	-3.158	-2.685
-20.700	0.127	-3.091	-2.658
-20.600	0.165	-3.025	-2.631
-20.500	0.203	-2.963	-2.606
-20.400	0.241	-2.902	-2.580
-20.300	0.279	-2.852	-2.555
-20.200	0.317	-2.802	-2.530
-20.100	0.355	-2.759	-2.505
-20.000	0.393	-2.716	-2.481
-19.900	0.431	-2.673	-2.456
-19.800	0.469	-2.630	-2.434
-19.700	0.506	-2.591	-2.411
-19.600	0.544	-2.556	-2.388
-19.500	0.582	-2.521	-2.365
-19.400	0.620	-2.489	-2.342
-19.300	0.657	-2.458	-2.319
-19.200	0.695	-2.427	-2.295
-19.100	0.732	-2.399	-2.272
-19.000	0.770	-2.370	-2.249
-18.900	0.808	-2.342	-2.225
-18.800	0.845	-2.316	-2.202
-18.700	0.883	-2.289	-2.178
-18.600	0.920	-2.263	-2.154
-18.500	0.958	-2.237	-2.130
-18.400	0.995	-2.210	-2.105
-18.300	1.033	-2.184	-2.080
-18.200	1.070	-2.158	-2.056
-18.100	1.108	-2.131	-2.032
-18.000	1.145	-2.105	-2.008
-17.900	1.183	-2.078	-1.985
-17.800	1.220	-2.051	-1.961
-17.700	1.258	-2.024	-1.936
-17.600	1.295	-1.996	-1.911
-17.500	1.332	-1.970	-1.885
-17.400	1.370	-1.944	-1.860
-17.300	1.407	-1.918	-1.836
-17.200	1.445	-1.892	-1.813
-17.100	1.482	-1.864	-1.790
-17.000	1.519	-1.837	-1.767
-16.900	1.557	-1.809	-1.743
-16.800	1.594	-1.782	-1.717
-16.700	1.631	-1.757	-1.691
-16.600	1.669	-1.732	-1.665
-16.500	1.693	-1.707	-1.639
-16.400	1.710	-1.682	-1.612
-16.300	nan	-1.654	-1.586
-16.200	nan	-1.626	-1.559
-16.100	nan	-1.598	-1.533
-16.000	nan	-1.569	-1.508
-15.900	nan	-1.541	-1.484
-15.800	nan	-1.513	-1.461
-15.700	nan	-1.485	-1.437
-15.600	nan	-1.459	-1.414
-15.500	nan	-1.434	-1.391
-15.400	nan	-1.410	-1.367
-15.300	nan	-1.385	-1.344
-15.200	nan	-1.360	-1.320
-15.100	nan	-1.336	-1.294
-15.000	nan	-1.311	-1.267
-14.900	nan	-1.287	-1.240
-14.800	nan	-1.259	-1.213
-14.700	nan	-1.231	-1.188
-14.600	nan	-1.203	-1.163
-14.500	nan	-1.175	-1.138
-14.400	nan	-1.149	-1.113
-14.300	nan	-1.123	-1.087
-14.200	nan	-1.097	-1.060
-14.100	nan	-1.071	-1.034
-14.000	nan	-1.043	-1.007
-13.900	nan	-1.016	-0.981
-13.800	nan	-0.988	-0.955
-13.700	nan	-0.961	-0.929
-13.600	nan	-0.934	-0.903
-13.500	nan	-0.908	-0.877
-13.400	nan	-0.881	-0.850
-13.300	nan	-0.854	-0.823
-13.200	nan	-0.826	-0.797
-13.100	nan	-0.799	-0.768
-13.000	nan	-0.771	-0.739
-12.900	nan	-0.741	-0.709
-12.800	nan	-0.711	-0.680
-12.700	nan	-0.681	-0.652
-12.600	nan	-0.651	-0.624
-12.500	nan	-0.622	-0.597
-12.400	nan	-0.594	-0.569
-12.300	nan	-0.566	-0.544
-12.200	nan	-0.539	-0.518
-12.100	nan	-0.513	-0.493
