# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-1.551	nan	-5.954
-24.900	-1.509	nan	-5.790
-24.800	-1.468	nan	-5.600
-24.700	-1.428	nan	-5.433
-24.600	-1.387	nan	-5.269
-24.500	-1.347	nan	-5.111
-24.400	-1.306	nan	-4.952
-24.300	-1.266	nan	-4.796
-24.200	-1.226	nan	-4.657
-24.100	-1.187	nan	-4.531
-24.000	-1.147	nan	-4.415
-23.900	-1.108	nan	-4.316
-23.800	-1.068	nan	-4.219
-23.700	-1.029	nan	-4.131
-23.600	-0.990	nan	-4.043
-23.500	-0.951	nan	-3.957
-23.400	-0.912	nan	-3.875
-23.300	-0.873	nan	-3.799
-23.200	-0.835	nan	-3.725
-23.100	-0.796	nan	-3.658
-23.000	-0.758	nan	-3.591
-22.900	-0.719	nan	-3.526
-22.800	-0.681	-5.865	-3.463
-22.700	-0.643	-5.657	-3.407
-22.600	-0.604	-5.414	-3.351
-22.500	-0.566	-5.192	-3.301
-22.400	-0.528	-4.982	-3.252
-22.300	-0.490	-4.771	-3.203
-22.200	-0.453	-4.576	-3.153
-22.100	-0.415	-4.405	-3.103
-22.000	-0.377	-4.256	-3.057
-21.900	-0.339	-4.126	-3.010
-21.800	-0.302	-4.006	-2.968
-21.700	-0.264	-3.890	-2.931
-21.600	-0.227	-3.777	-2.893
-21.500	-0.189	-3.675	-2.860
-21.400	-0.152	-3.580	-2.828
-21.300	-0.114	-3.490	-2.796
-21.200	-0.077	-3.404	-2.763
-21.100	-0.040	-3.322	-2.731
-21.000	-0.003	-3.248	-2.699
-20.900	0.035	-3.179	-2.671
-20.800	0.072	-3.114	-2.644
-20.700	0.109	-3.048	-2.617
-20.600	0.146	-2.982	-2.591
-20.500	0.183	-2.920	-2.566
-20.400	0.220	-2.859	-2.540
-20.300	0.257	-2.809	-2.515
-20.200	0.294	-2.760	-2.491
-20.100	0.331	-2.717	-2.466
-20.000	0.368	-2.674	-2.442
-19.900	0.405	-2.631	-2.418
-19.800	0.442	-2.589	-2.396
-19.700	0.479	-2.550	-2.373
-19.600	0.516	-2.515	-2.351
-19.500	0.553	-2.480	-2.328
-19.400	0.590	-2.449	-2.305
-19.300	0.627	-2.418	-2.282
-19.200	0.664	-2.388	-2.259
-19.100	0.700	-2.360	-2.236
-19.000	0.737	-2.331	-2.213
-18.900	0.774	-2.304	-2.190
-18.800	0.811	-2.278	-2.167
-18.700	0.848	-2.252	-2.144
-18.600	0.884	-2.226	-2.121
-18.500	0.921	-2.200	-2.096
-18.400	0.958	-2.174	-2.072
-18.300	0.995	-2.148	-2.048
-18.200	1.032	-2.123	-2.024
-18.100	1.068	-2.097	-2.001
-18.000	1.105	-2.071	-1.978
-17.900	1.142	-2.045	-1.955
-17.800	1.178	-2.018	-1.931
-17.700	1.215	-1.991	-1.907
-17.600	1.252	-1.964	-1.882
-17.500	1.289	-1.938	-1.857
-17.400	1.325	-1.913	-1.832
-17.300	1.362	-1.887	-1.809
-17.200	1.399	-1.862	-1.786
-17.100	1.436	-1.835	-1.764
-17.000	1.472	-1.808	-1.741
-16.900	1.509	-1.781	-1.718
-16.800	1.546	-1.755	-1.693
-16.700	1.582	-1.730	-1.667
-16.600	1.619	-1.706	-1.641
-16.500	1.643	-1.682	-1.616
-16.400	1.660	-1.657	-1.590
-16.300	nan	-1.629	-1.564
-16.200	nan	-1.602	-1.538
-16.100	nan	-1.575	-1.512
-16.000	nan	-1.547	-1.488
-15.900	nan	-1.520	-1.465
-15.800	nan	-1.492	-1.442
-15.700	nan	-1.464	-1.420
-15.600	nan	-1.439	-1.397
-15.500	nan	-1.415	-1.374
-15.400	nan	-1.391	-1.351
-15.300	nan	-1.368	-1.328
-15.200	nan	-1.344	-1.306
-15.100	nan	-1.320	-1.280
-15.000	nan	-1.296	-1.253
-14.900	nan	-1.272	-1.227
-14.800	nan	-1.245	-1.201
-14.700	nan	-1.218	-1.177
-14.600	nan	-1.191	-1.152
-14.500	nan	-1.164	-1.128
-14.400	nan	-1.138	-1.103
-14.300	nan	-1.113	-1.078
-14.200	nan	-1.087	-1.052
-14.100	nan	-1.062	-1.026
-14.000	nan	-1.035	-1.000
-13.900	nan	-1.008	-0.975
-13.800	nan	-0.981	-0.950
-13.700	nan	-0.955	-0.925
-13.600	nan	-0.929	-0.899
-13.500	nan	-0.903	-0.874
-13.400	nan	-0.877	-0.848
-13.300	nan	-0.851	-0.821
-13.200	nan	-0.824	-0.795
-13.100	nan	-0.797	-0.768
-13.000	nan	-0.770	-0.739
-12.900	nan	-0.741	-0.710
-12.800	nan	-0.711	-0.681
-12.700	nan	-0.682	-0.654
-12.600	nan	-0.652	-0.627
-12.500	nan	-0.625	-0.600
-12.400	nan	-0.597	-0.574
-12.300	nan	-0.570	-0.549
-12.200	nan	-0.544	-0.524
-12.100	nan	-0.519	-0.499
