# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-1.692	nan	-6.217
-24.900	-1.646	nan	-5.992
-24.800	-1.600	nan	-5.785
-24.700	-1.554	nan	-5.595
-24.600	-1.509	nan	-5.434
-24.500	-1.464	nan	-5.279
-24.400	-1.420	nan	-5.133
-24.300	-1.376	nan	-4.991
-24.200	-1.332	nan	-4.857
-24.100	-1.288	nan	-4.732
-24.000	-1.244	nan	-4.614
-23.900	-1.201	nan	-4.504
-23.800	-1.158	nan	-4.397
-23.700	-1.115	-7.528	-4.296
-23.600	-1.073	-7.285	-4.197
-23.500	-1.031	-6.955	-4.106
-23.400	-0.988	-6.663	-4.020
-23.300	-0.946	-6.377	-3.940
-23.200	-0.905	-6.095	-3.868
-23.100	-0.863	-5.818	-3.796
-23.000	-0.822	-5.581	-3.728
-22.900	-0.781	-5.371	-3.659
-22.800	-0.740	-5.180	-3.595
-22.700	-0.699	-5.001	-3.531
-22.600	-0.658	-4.832	-3.472
-22.500	-0.618	-4.672	-3.418
-22.400	-0.577	-4.528	-3.364
-22.300	-0.537	-4.392	-3.313
-22.200	-0.497	-4.261	-3.263
-22.100	-0.457	-4.141	-3.216
-22.000	-0.417	-4.026	-3.178
-21.900	-0.377	-3.920	-3.140
-21.800	-0.337	-3.825	-3.102
-21.700	-0.298	-3.737	-3.066
-21.600	-0.259	-3.651	-3.030
-21.500	-0.219	-3.567	-2.994
-21.400	-0.180	-3.488	-2.959
-21.300	-0.141	-3.411	-2.923
-21.200	-0.102	-3.343	-2.887
-21.100	-0.063	-3.277	-2.856
-21.000	-0.024	-3.215	-2.827
-20.900	0.015	-3.154	-2.798
-20.800	0.053	-3.102	-2.769
-20.700	0.092	-3.055	-2.742
-20.600	0.131	-3.009	-2.715
-20.500	0.169	-2.965	-2.687
-20.400	0.207	-2.921	-2.660
-20.300	0.246	-2.877	-2.632
-20.200	0.284	-2.833	-2.604
-20.100	0.322	-2.789	-2.577
-20.000	0.360	-2.753	-2.549
-19.900	0.398	-2.717	-2.519
-19.800	0.436	-2.681	-2.490
-19.700	0.474	-2.649	-2.461
-19.600	0.512	-2.616	-2.432
-19.500	0.550	-2.583	-2.406
-19.400	0.588	-2.551	-2.380
-19.300	0.626	-2.518	-2.353
-19.200	0.664	-2.486	-2.327
-19.100	0.701	-2.453	-2.300
-19.000	0.739	-2.420	-2.272
-18.900	0.777	-2.387	-2.245
-18.800	0.814	-2.354	-2.217
-18.700	0.852	-2.324	-2.190
-18.600	0.889	-2.295	-2.162
-18.500	0.927	-2.265	-2.134
-18.400	0.964	-2.235	-2.106
-18.300	1.002	-2.205	-2.078
-18.200	1.039	-2.174	-2.052
-18.100	1.077	-2.144	-2.026
-18.000	1.114	-2.113	-2.001
-17.900	1.151	-2.082	-1.975
-17.800	1.189	-2.051	-1.949
-17.700	1.226	-2.021	-1.924
-17.600	1.263	-1.992	-1.898
-17.500	1.301	-1.964	-1.873
-17.400	1.338	-1.936	-1.846
-17.300	1.375	-1.908	-1.819
-17.200	1.412	-1.881	-1.791
-17.100	1.450	-1.853	-1.763
-17.000	1.487	-1.825	-1.735
-16.900	1.524	-1.797	-1.707
-16.800	1.561	-1.767	-1.678
-16.700	1.598	-1.738	-1.650
-16.600	1.635	-1.708	-1.621
-16.500	1.659	-1.678	-1.595
-16.400	1.677	-1.647	-1.570
-16.300	nan	-1.617	-1.544
-16.200	nan	-1.586	-1.519
-16.100	nan	-1.557	-1.493
-16.000	nan	-1.531	-1.468
-15.900	nan	-1.504	-1.442
-15.800	nan	-1.477	-1.417
-15.700	nan	-1.450	-1.391
-15.600	nan	-1.423	-1.364
-15.500	nan	-1.396	-1.336
-15.400	nan	-1.369	-1.309
-15.300	nan	-1.341	-1.281
-15.200	nan	-1.312	-1.254
-15.100	nan	-1.284	-1.226
-15.000	nan	-1.255	-1.198
-14.900	nan	-1.226	-1.171
-14.800	nan	-1.197	-1.144
-14.700	nan	-1.168	-1.117
-14.600	nan	-1.139	-1.089
-14.500	nan	-1.111	-1.062
-14.400	nan	-1.083	-1.036
-14.300	nan	-1.054	-1.010
-14.200	nan	-1.026	-0.984
-14.100	nan	-0.999	-0.958
-14.000	nan	-0.972	-0.930
-13.900	nan	-0.945	-0.903
-13.800	nan	-0.918	-0.875
-13.700	nan	-0.889	-0.847
-13.600	nan	-0.860	-0.818
-13.500	nan	-0.831	-0.788
-13.400	nan	-0.801	-0.759
-13.300	nan	-0.771	-0.730
-13.200	nan	-0.741	-0.702
-13.100	nan	-0.711	-0.675
-13.000	nan	-0.682	-0.647
-12.900	nan	-0.654	-0.620
-12.800	nan	-0.626	-0.593
-12.700	nan	-0.598	-0.567
-12.600	nan	-0.570	-0.540
-12.500	nan	-0.543	-0.512
-12.400	nan	-0.515	-0.483
-12.300	nan	-0.486	-0.453
-12.200	nan	-0.456	-0.424
-12.100	nan	-0.426	-0.396
