# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-3.368	-19.327	-9.090
-24.900	-3.278	-18.216	-8.862
-24.800	-3.190	-17.200	-8.645
-24.700	-3.104	-16.245	-8.435
-24.600	-3.018	-15.304	-8.240
-24.500	-2.935	-14.389	-8.045
-24.400	-2.853	-13.584	-7.879
-24.300	-2.772	-12.932	-7.714
-24.200	-2.693	-12.326	-7.551
-24.100	-2.615	-11.763	-7.392
-24.000	-2.538	-11.238	-7.234
-23.900	-2.463	-10.762	-7.090
-23.800	-2.388	-10.337	-6.953
-23.700	-2.315	-9.935	-6.816
-23.600	-2.243	-9.560	-6.699
-23.500	-2.172	-9.217	-6.585
-23.400	-2.102	-8.891	-6.471
-23.300	-2.033	-8.609	-6.369
-23.200	-1.966	-8.333	-6.268
-23.100	-1.898	-8.079	-6.168
-23.000	-1.833	-7.842	-6.069
-22.900	-1.767	-7.627	-5.972
-22.800	-1.703	-7.416	-5.874
-22.700	-1.640	-7.210	-5.779
-22.600	-1.577	-7.013	-5.693
-22.500	-1.515	-6.835	-5.608
-22.400	-1.454	-6.663	-5.522
-22.300	-1.393	-6.514	-5.442
-22.200	-1.334	-6.365	-5.365
-22.100	-1.274	-6.233	-5.288
-22.000	-1.216	-6.102	-5.211
-21.900	-1.158	-5.973	-5.141
-21.800	-1.100	-5.846	-5.071
-21.700	-1.044	-5.720	-5.002
-21.600	-0.988	-5.604	-4.932
-21.500	-0.932	-5.493	-4.866
-21.400	-0.877	-5.382	-4.800
-21.300	-0.822	-5.281	-4.735
-21.200	-0.768	-5.181	-4.669
-21.100	-0.714	-5.082	-4.605
-21.000	-0.660	-4.992	-4.541
-20.900	-0.607	-4.901	-4.478
-20.800	-0.554	-4.811	-4.414
-20.700	-0.502	-4.726	-4.356
-20.600	-0.450	-4.641	-4.301
-20.500	-0.398	-4.556	-4.246
-20.400	-0.347	-4.473	-4.190
-20.300	-0.296	-4.390	-4.135
-20.200	-0.246	-4.307	-4.078
-20.100	-0.195	-4.232	-4.021
-20.000	-0.145	-4.160	-3.964
-19.900	-0.096	-4.088	-3.908
-19.800	-0.046	-4.017	-3.855
-19.700	0.003	-3.945	-3.802
-19.600	0.052	-3.873	-3.749
-19.500	0.101	-3.801	-3.697
-19.400	0.149	-3.739	-3.646
-19.300	0.197	-3.678	-3.596
-19.200	0.245	-3.616	-3.545
-19.100	0.293	-3.558	-3.495
-19.000	0.340	-3.503	-3.445
-18.900	0.388	-3.448	-3.394
-18.800	0.435	-3.394	-3.343
-18.700	0.481	-3.339	-3.292
-18.600	0.528	-3.285	-3.241
-18.500	0.574	-3.230	-3.191
-18.400	0.621	-3.176	-3.140
-18.300	0.667	-3.123	-3.090
-18.200	0.712	-3.070	-3.040
-18.100	0.758	-3.018	-2.992
-18.000	0.803	-2.966	-2.946
-17.900	0.849	-2.919	-2.900
-17.800	0.894	-2.871	-2.853
-17.700	0.938	-2.824	-2.808
-17.600	0.983	-2.778	-2.765
-17.500	1.028	-2.734	-2.722
-17.400	1.072	-2.690	-2.679
-17.300	1.116	-2.646	-2.636
-17.200	1.160	-2.601	-2.590
-17.100	1.204	-2.555	-2.544
-17.000	1.248	-2.508	-2.499
-16.900	1.292	-2.462	-2.453
-16.800	1.335	-2.416	-2.409
-16.700	1.378	-2.372	-2.365
-16.600	1.422	-2.327	-2.321
-16.500	1.449	-2.283	-2.276
-16.400	1.469	-2.239	-2.233
-16.300	nan	-2.196	-2.191
-16.200	nan	-2.153	-2.148
-16.100	nan	-2.110	-2.105
-16.000	nan	-2.067	-2.063
-15.900	nan	-2.025	-2.021
-15.800	nan	-1.983	-1.980
-15.700	nan	-1.941	-1.938
-15.600	nan	-1.899	-1.896
-15.500	nan	-1.856	-1.853
-15.400	nan	-1.813	-1.810
-15.300	nan	-1.770	-1.767
-15.200	nan	-1.728	-1.725
-15.100	nan	-1.686	-1.683
-15.000	nan	-1.644	-1.641
-14.900	nan	-1.602	-1.599
-14.800	nan	-1.559	-1.557
-14.700	nan	-1.517	-1.515
-14.600	nan	-1.475	-1.472
-14.500	nan	-1.432	-1.430
-14.400	nan	-1.394	-1.392
-14.300	nan	-1.356	-1.355
-14.200	nan	-1.319	-1.317
-14.100	nan	-1.281	-1.279
-14.000	nan	-1.241	-1.240
-13.900	nan	-1.202	-1.200
-13.800	nan	-1.162	-1.161
-13.700	nan	-1.123	-1.122
-13.600	nan	-1.084	-1.083
-13.500	nan	-1.045	-1.044
-13.400	nan	-1.006	-1.005
-13.300	nan	-0.967	-0.965
-13.200	nan	-0.927	-0.926
-13.100	nan	-0.888	-0.886
-13.000	nan	-0.847	-0.845
-12.900	nan	-0.799	-0.797
-12.800	nan	-0.751	-0.749
-12.700	nan	-0.703	-0.701
-12.600	nan	-0.656	-0.655
-12.500	nan	-0.611	-0.609
-12.400	nan	-0.566	-0.564
-12.300	nan	-0.531	-0.530
-12.200	nan	-0.503	-0.502
-12.100	nan	-0.475	-0.475
