# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-3.802	-18.818	-9.336
-24.900	-3.708	-17.785	-9.099
-24.800	-3.614	-16.828	-8.872
-24.700	-3.524	-15.925	-8.657
-24.600	-3.434	-15.077	-8.471
-24.500	-3.345	-14.331	-8.285
-24.400	-3.258	-13.661	-8.111
-24.300	-3.172	-13.043	-7.939
-24.200	-3.088	-12.466	-7.772
-24.100	-3.005	-11.940	-7.624
-24.000	-2.923	-11.446	-7.476
-23.900	-2.842	-10.988	-7.335
-23.800	-2.762	-10.571	-7.205
-23.700	-2.684	-10.170	-7.075
-23.600	-2.606	-9.797	-6.954
-23.500	-2.530	-9.458	-6.843
-23.400	-2.455	-9.137	-6.731
-23.300	-2.380	-8.839	-6.623
-23.200	-2.307	-8.555	-6.523
-23.100	-2.234	-8.313	-6.423
-23.000	-2.162	-8.077	-6.323
-22.900	-2.092	-7.854	-6.235
-22.800	-2.022	-7.639	-6.147
-22.700	-1.953	-7.446	-6.060
-22.600	-1.884	-7.257	-5.975
-22.500	-1.817	-7.088	-5.895
-22.400	-1.750	-6.918	-5.814
-22.300	-1.684	-6.770	-5.734
-22.200	-1.619	-6.626	-5.657
-22.100	-1.554	-6.487	-5.585
-22.000	-1.490	-6.357	-5.512
-21.900	-1.427	-6.227	-5.439
-21.800	-1.364	-6.110	-5.369
-21.700	-1.302	-5.997	-5.302
-21.600	-1.240	-5.884	-5.236
-21.500	-1.179	-5.780	-5.169
-21.400	-1.119	-5.676	-5.104
-21.300	-1.059	-5.572	-5.041
-21.200	-1.000	-5.477	-4.978
-21.100	-0.941	-5.383	-4.915
-21.000	-0.882	-5.289	-4.853
-20.900	-0.825	-5.202	-4.792
-20.800	-0.767	-5.115	-4.732
-20.700	-0.710	-5.029	-4.673
-20.600	-0.654	-4.946	-4.613
-20.500	-0.598	-4.865	-4.553
-20.400	-0.542	-4.783	-4.494
-20.300	-0.487	-4.703	-4.435
-20.200	-0.433	-4.625	-4.375
-20.100	-0.378	-4.547	-4.316
-20.000	-0.324	-4.470	-4.260
-19.900	-0.271	-4.393	-4.204
-19.800	-0.217	-4.317	-4.148
-19.700	-0.164	-4.240	-4.092
-19.600	-0.112	-4.168	-4.040
-19.500	-0.059	-4.100	-3.990
-19.400	-0.008	-4.031	-3.939
-19.300	0.044	-3.966	-3.888
-19.200	0.095	-3.909	-3.836
-19.100	0.146	-3.852	-3.782
-19.000	0.197	-3.795	-3.727
-18.900	0.247	-3.737	-3.673
-18.800	0.298	-3.678	-3.618
-18.700	0.347	-3.619	-3.564
-18.600	0.397	-3.559	-3.510
-18.500	0.446	-3.502	-3.456
-18.400	0.495	-3.445	-3.402
-18.300	0.544	-3.388	-3.353
-18.200	0.593	-3.332	-3.306
-18.100	0.641	-3.283	-3.260
-18.000	0.690	-3.235	-3.213
-17.900	0.737	-3.186	-3.165
-17.800	0.785	-3.137	-3.117
-17.700	0.833	-3.087	-3.068
-17.600	0.880	-3.038	-3.020
-17.500	0.927	-2.988	-2.972
-17.400	0.974	-2.938	-2.924
-17.300	1.021	-2.890	-2.877
-17.200	1.067	-2.842	-2.830
-17.100	1.114	-2.794	-2.783
-17.000	1.160	-2.746	-2.734
-16.900	1.206	-2.697	-2.686
-16.800	1.252	-2.648	-2.638
-16.700	1.297	-2.599	-2.590
-16.600	1.343	-2.550	-2.542
-16.500	1.380	-2.503	-2.495
-16.400	1.401	-2.455	-2.448
-16.300	1.422	-2.408	-2.401
-16.200	nan	-2.362	-2.357
-16.100	nan	-2.318	-2.313
-16.000	nan	-2.274	-2.270
-15.900	nan	-2.230	-2.226
-15.800	nan	-2.185	-2.180
-15.700	nan	-2.138	-2.133
-15.600	nan	-2.090	-2.086
-15.500	nan	-2.043	-2.039
-15.400	nan	-1.996	-1.992
-15.300	nan	-1.949	-1.946
-15.200	nan	-1.903	-1.899
-15.100	nan	-1.856	-1.852
-15.000	nan	-1.808	-1.804
-14.900	nan	-1.759	-1.756
-14.800	nan	-1.711	-1.708
-14.700	nan	-1.665	-1.663
-14.600	nan	-1.625	-1.623
-14.500	nan	-1.586	-1.584
-14.400	nan	-1.547	-1.545
-14.300	nan	-1.504	-1.502
-14.200	nan	-1.459	-1.457
-14.100	nan	-1.414	-1.411
-14.000	nan	-1.368	-1.366
-13.900	nan	-1.325	-1.323
-13.800	nan	-1.282	-1.280
-13.700	nan	-1.239	-1.237
-13.600	nan	-1.197	-1.195
-13.500	nan	-1.154	-1.152
-13.400	nan	-1.112	-1.110
-13.300	nan	-1.069	-1.067
-13.200	nan	-1.021	-1.018
-13.100	nan	-0.969	-0.967
-13.000	nan	-0.917	-0.915
-12.900	nan	-0.866	-0.864
-12.800	nan	-0.817	-0.815
-12.700	nan	-0.769	-0.767
-12.600	nan	-0.723	-0.722
-12.500	nan	-0.692	-0.691
-12.400	nan	-0.661	-0.660
-12.300	nan	-0.630	-0.629
-12.200	nan	-0.608	-0.607
-12.100	nan	-0.589	-0.589
