# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-1.928	nan	-6.403
-24.900	-1.876	nan	-6.207
-24.800	-1.824	nan	-6.023
-24.700	-1.773	nan	-5.847
-24.600	-1.723	nan	-5.679
-24.500	-1.673	nan	-5.529
-24.400	-1.623	nan	-5.386
-24.300	-1.573	nan	-5.253
-24.200	-1.524	nan	-5.122
-24.100	-1.475	nan	-4.987
-24.000	-1.427	nan	-4.852
-23.900	-1.379	-8.816	-4.736
-23.800	-1.331	-8.417	-4.620
-23.700	-1.284	-8.011	-4.532
-23.600	-1.237	-7.649	-4.445
-23.500	-1.190	-7.318	-4.369
-23.400	-1.143	-7.012	-4.296
-23.300	-1.097	-6.716	-4.223
-23.200	-1.051	-6.436	-4.149
-23.100	-1.005	-6.179	-4.076
-23.000	-0.960	-5.942	-4.006
-22.900	-0.914	-5.717	-3.937
-22.800	-0.869	-5.507	-3.869
-22.700	-0.825	-5.323	-3.807
-22.600	-0.780	-5.150	-3.745
-22.500	-0.735	-4.981	-3.689
-22.400	-0.691	-4.809	-3.640
-22.300	-0.647	-4.651	-3.591
-22.200	-0.603	-4.505	-3.544
-22.100	-0.560	-4.393	-3.501
-22.000	-0.516	-4.289	-3.457
-21.900	-0.473	-4.195	-3.413
-21.800	-0.430	-4.101	-3.369
-21.700	-0.387	-4.007	-3.324
-21.600	-0.344	-3.916	-3.280
-21.500	-0.302	-3.827	-3.243
-21.400	-0.259	-3.743	-3.207
-21.300	-0.217	-3.664	-3.171
-21.200	-0.175	-3.589	-3.136
-21.100	-0.132	-3.526	-3.100
-21.000	-0.090	-3.463	-3.065
-20.900	-0.049	-3.407	-3.030
-20.800	-0.007	-3.351	-2.995
-20.700	0.035	-3.294	-2.961
-20.600	0.076	-3.238	-2.927
-20.500	0.117	-3.181	-2.893
-20.400	0.159	-3.133	-2.860
-20.300	0.200	-3.087	-2.829
-20.200	0.241	-3.041	-2.797
-20.100	0.282	-2.996	-2.765
-20.000	0.323	-2.951	-2.734
-19.900	0.363	-2.906	-2.702
-19.800	0.404	-2.863	-2.670
-19.700	0.445	-2.820	-2.638
-19.600	0.485	-2.777	-2.607
-19.500	0.526	-2.738	-2.576
-19.400	0.566	-2.699	-2.545
-19.300	0.606	-2.661	-2.514
-19.200	0.646	-2.624	-2.483
-19.100	0.686	-2.587	-2.451
-19.000	0.726	-2.550	-2.419
-18.900	0.766	-2.514	-2.388
-18.800	0.806	-2.478	-2.356
-18.700	0.846	-2.443	-2.325
-18.600	0.886	-2.408	-2.297
-18.500	0.925	-2.373	-2.269
-18.400	0.965	-2.337	-2.241
-18.300	1.005	-2.302	-2.213
-18.200	1.044	-2.266	-2.184
-18.100	1.084	-2.235	-2.156
-18.000	1.123	-2.204	-2.128
-17.900	1.162	-2.174	-2.099
-17.800	1.202	-2.143	-2.070
-17.700	1.241	-2.112	-2.039
-17.600	1.280	-2.081	-2.008
-17.500	1.319	-2.050	-1.978
-17.400	1.358	-2.019	-1.947
-17.300	1.398	-1.986	-1.916
-17.200	1.437	-1.953	-1.885
-17.100	1.476	-1.920	-1.854
-17.000	1.515	-1.887	-1.824
-16.900	1.553	-1.854	-1.794
-16.800	1.592	-1.821	-1.766
-16.700	1.631	-1.788	-1.737
-16.600	1.670	-1.757	-1.708
-16.500	1.695	-1.726	-1.679
-16.400	1.713	-1.696	-1.651
-16.300	nan	-1.666	-1.623
-16.200	nan	-1.636	-1.594
-16.100	nan	-1.606	-1.566
-16.000	nan	-1.576	-1.536
-15.900	nan	-1.546	-1.505
-15.800	nan	-1.516	-1.475
-15.700	nan	-1.484	-1.445
-15.600	nan	-1.453	-1.416
-15.500	nan	-1.421	-1.387
-15.400	nan	-1.391	-1.357
-15.300	nan	-1.360	-1.328
-15.200	nan	-1.330	-1.298
-15.100	nan	-1.300	-1.269
-15.000	nan	-1.269	-1.239
-14.900	nan	-1.239	-1.209
-14.800	nan	-1.208	-1.179
-14.700	nan	-1.177	-1.149
-14.600	nan	-1.146	-1.119
-14.500	nan	-1.115	-1.088
-14.400	nan	-1.084	-1.058
-14.300	nan	-1.053	-1.028
-14.200	nan	-1.022	-0.998
-14.100	nan	-0.991	-0.967
-14.000	nan	-0.960	-0.936
-13.900	nan	-0.928	-0.904
-13.800	nan	-0.895	-0.872
-13.700	nan	-0.862	-0.840
-13.600	nan	-0.830	-0.808
-13.500	nan	-0.797	-0.775
-13.400	nan	-0.764	-0.743
-13.300	nan	-0.731	-0.712
-13.200	nan	-0.699	-0.685
-13.100	nan	-0.671	-0.657
-13.000	nan	-0.643	-0.630
-12.900	nan	-0.616	-0.600
-12.800	nan	-0.585	-0.567
-12.700	nan	-0.551	-0.533
-12.600	nan	-0.517	-0.500
-12.500	nan	-0.483	-0.467
-12.400	nan	-0.450	-0.435
-12.300	nan	-0.418	-0.403
-12.200	nan	-0.386	-0.373
-12.100	nan	-0.356	-0.346
