# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-1.489	nan	nan
-24.900	-1.451	nan	nan
-24.800	-1.413	nan	nan
-24.700	-1.376	nan	nan
-24.600	-1.338	nan	nan
-24.500	-1.301	nan	nan
-24.400	-1.264	nan	-4.892
-24.300	-1.227	nan	-4.818
-24.200	-1.190	nan	-4.713
-24.100	-1.152	nan	-4.595
-24.000	-1.115	nan	-4.486
-23.900	-1.078	nan	-4.380
-23.800	-1.041	nan	-4.277
-23.700	-1.005	nan	-4.187
-23.600	-0.968	nan	-4.095
-23.500	-0.931	nan	-3.999
-23.400	-0.894	nan	-3.911
-23.300	-0.857	nan	-3.828
-23.200	-0.821	nan	-3.754
-23.100	-0.784	nan	-3.682
-23.000	-0.747	nan	-3.615
-22.900	-0.711	nan	-3.547
-22.800	-0.674	nan	-3.479
-22.700	-0.638	nan	-3.413
-22.600	-0.601	nan	-3.351
-22.500	-0.565	nan	-3.294
-22.400	-0.528	nan	-3.243
-22.300	-0.492	nan	-3.190
-22.200	-0.455	nan	-3.136
-22.100	-0.419	nan	-3.086
-22.000	-0.382	-4.667	-3.045
-21.900	-0.346	-4.510	-3.004
-21.800	-0.309	-4.358	-2.964
-21.700	-0.273	-4.213	-2.924
-21.600	-0.237	-4.080	-2.881
-21.500	-0.200	-3.955	-2.838
-21.400	-0.164	-3.824	-2.802
-21.300	-0.127	-3.710	-2.772
-21.200	-0.091	-3.607	-2.742
-21.100	-0.055	-3.511	-2.713
-21.000	-0.018	-3.419	-2.684
-20.900	0.018	-3.325	-2.655
-20.800	0.054	-3.238	-2.629
-20.700	0.091	-3.158	-2.603
-20.600	0.127	-3.087	-2.578
-20.500	0.163	-3.013	-2.555
-20.400	0.200	-2.945	-2.532
-20.300	0.236	-2.889	-2.509
-20.200	0.272	-2.833	-2.487
-20.100	0.309	-2.778	-2.464
-20.000	0.345	-2.719	-2.442
-19.900	0.381	-2.666	-2.422
-19.800	0.417	-2.625	-2.402
-19.700	0.454	-2.585	-2.383
-19.600	0.490	-2.546	-2.363
-19.500	0.526	-2.509	-2.342
-19.400	0.563	-2.476	-2.321
-19.300	0.599	-2.445	-2.301
-19.200	0.635	-2.417	-2.280
-19.100	0.672	-2.389	-2.260
-19.000	0.708	-2.363	-2.240
-18.900	0.744	-2.337	-2.220
-18.800	0.781	-2.312	-2.200
-18.700	0.817	-2.290	-2.180
-18.600	0.854	-2.267	-2.160
-18.500	0.890	-2.244	-2.141
-18.400	0.926	-2.220	-2.121
-18.300	0.963	-2.197	-2.100
-18.200	0.999	-2.174	-2.079
-18.100	1.035	-2.151	-2.058
-18.000	1.072	-2.128	-2.037
-17.900	1.108	-2.106	-2.015
-17.800	1.145	-2.084	-1.993
-17.700	1.181	-2.062	-1.971
-17.600	1.217	-2.040	-1.949
-17.500	1.254	-2.017	-1.927
-17.400	1.290	-1.994	-1.905
-17.300	1.327	-1.971	-1.883
-17.200	1.363	-1.947	-1.861
-17.100	1.400	-1.923	-1.839
-17.000	1.436	-1.899	-1.819
-16.900	1.472	-1.875	-1.799
-16.800	1.509	-1.851	-1.779
-16.700	1.545	-1.827	-1.759
-16.600	1.582	-1.803	-1.738
-16.500	1.605	-1.779	-1.717
-16.400	1.623	-1.758	-1.696
-16.300	nan	-1.736	-1.675
-16.200	nan	-1.715	-1.652
-16.100	nan	-1.693	-1.628
-16.000	nan	-1.670	-1.604
-15.900	nan	-1.648	-1.579
-15.800	nan	-1.625	-1.555
-15.700	nan	-1.601	-1.532
-15.600	nan	-1.576	-1.509
-15.500	nan	-1.550	-1.486
-15.400	nan	-1.524	-1.462
-15.300	nan	-1.499	-1.441
-15.200	nan	-1.474	-1.419
-15.100	nan	-1.450	-1.398
-15.000	nan	-1.425	-1.376
-14.900	nan	-1.402	-1.354
-14.800	nan	-1.380	-1.332
-14.700	nan	-1.357	-1.310
-14.600	nan	-1.335	-1.287
-14.500	nan	-1.311	-1.264
-14.400	nan	-1.288	-1.240
-14.300	nan	-1.265	-1.216
-14.200	nan	-1.242	-1.192
-14.100	nan	-1.217	-1.168
-14.000	nan	-1.192	-1.144
-13.900	nan	-1.167	-1.121
-13.800	nan	-1.142	-1.097
-13.700	nan	-1.117	-1.073
-13.600	nan	-1.092	-1.048
-13.500	nan	-1.067	-1.024
-13.400	nan	-1.042	-1.000
-13.300	nan	-1.017	-0.975
-13.200	nan	-0.992	-0.951
-13.100	nan	-0.966	-0.928
-13.000	nan	-0.941	-0.904
-12.900	nan	-0.917	-0.880
-12.800	nan	-0.892	-0.854
-12.700	nan	-0.868	-0.828
-12.600	nan	-0.842	-0.802
-12.500	nan	-0.815	-0.776
-12.400	nan	-0.788	-0.748
-12.300	nan	-0.761	-0.721
-12.200	nan	-0.733	-0.693
-12.100	nan	-0.705	-0.666
