# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-1.504	nan	nan
-24.900	-1.468	nan	nan
-24.800	-1.432	nan	nan
-24.700	-1.396	nan	nan
-24.600	-1.361	nan	nan
-24.500	-1.325	nan	nan
-24.400	-1.289	nan	nan
-24.300	-1.253	nan	nan
-24.200	-1.217	nan	nan
-24.100	-1.182	nan	nan
-24.000	-1.146	nan	nan
-23.900	-1.110	nan	nan
-23.800	-1.074	nan	nan
-23.700	-1.039	nan	nan
-23.600	-1.003	nan	nan
-23.500	-0.967	nan	nan
-23.400	-0.931	nan	-4.189
-23.300	-0.896	nan	-4.130
-23.200	-0.860	nan	-4.030
-23.100	-0.824	nan	-3.943
-23.000	-0.788	nan	-3.873
-22.900	-0.753	nan	-3.812
-22.800	-0.717	nan	-3.744
-22.700	-0.681	nan	-3.664
-22.600	-0.645	nan	-3.579
-22.500	-0.610	nan	-3.502
-22.400	-0.574	nan	-3.448
-22.300	-0.538	nan	-3.403
-22.200	-0.502	nan	-3.362
-22.100	-0.466	nan	-3.307
-22.000	-0.431	nan	-3.254
-21.900	-0.395	nan	-3.207
-21.800	-0.359	nan	-3.160
-21.700	-0.323	nan	-3.115
-21.600	-0.287	nan	-3.072
-21.500	-0.251	nan	-3.030
-21.400	-0.215	nan	-2.990
-21.300	-0.180	-4.083	-2.952
-21.200	-0.144	-4.005	-2.915
-21.100	-0.108	-3.868	-2.881
-21.000	-0.072	-3.773	-2.848
-20.900	-0.036	-3.691	-2.820
-20.800	-0.000	-3.596	-2.792
-20.700	0.036	-3.489	-2.760
-20.600	0.072	-3.384	-2.728
-20.500	0.108	-3.314	-2.699
-20.400	0.144	-3.259	-2.673
-20.300	0.180	-3.192	-2.648
-20.200	0.216	-3.124	-2.624
-20.100	0.251	-3.061	-2.600
-20.000	0.287	-3.002	-2.576
-19.900	0.323	-2.945	-2.555
-19.800	0.359	-2.891	-2.533
-19.700	0.395	-2.840	-2.512
-19.600	0.432	-2.792	-2.493
-19.500	0.468	-2.748	-2.474
-19.400	0.504	-2.711	-2.455
-19.300	0.540	-2.676	-2.435
-19.200	0.576	-2.637	-2.414
-19.100	0.612	-2.599	-2.394
-19.000	0.648	-2.568	-2.376
-18.900	0.684	-2.538	-2.357
-18.800	0.720	-2.510	-2.339
-18.700	0.756	-2.481	-2.320
-18.600	0.792	-2.456	-2.302
-18.500	0.828	-2.431	-2.284
-18.400	0.865	-2.408	-2.266
-18.300	0.901	-2.386	-2.249
-18.200	0.937	-2.364	-2.231
-18.100	0.973	-2.341	-2.214
-18.000	1.009	-2.318	-2.196
-17.900	1.046	-2.296	-2.178
-17.800	1.082	-2.276	-2.160
-17.700	1.118	-2.255	-2.141
-17.600	1.154	-2.234	-2.123
-17.500	1.190	-2.214	-2.104
-17.400	1.227	-2.195	-2.086
-17.300	1.263	-2.175	-2.067
-17.200	1.299	-2.156	-2.049
-17.100	1.336	-2.136	-2.031
-17.000	1.372	-2.117	-2.011
-16.900	1.408	-2.097	-1.991
-16.800	1.444	-2.076	-1.971
-16.700	1.481	-2.056	-1.951
-16.600	1.517	-2.036	-1.931
-16.500	1.540	-2.016	-1.910
-16.400	1.558	-1.996	-1.890
-16.300	nan	-1.976	-1.869
-16.200	nan	-1.954	-1.849
-16.100	nan	-1.933	-1.830
-16.000	nan	-1.911	-1.811
-15.900	nan	-1.890	-1.791
-15.800	nan	-1.867	-1.772
-15.700	nan	-1.845	-1.752
-15.600	nan	-1.823	-1.731
-15.500	nan	-1.801	-1.711
-15.400	nan	-1.780	-1.690
-15.300	nan	-1.759	-1.668
-15.200	nan	-1.739	-1.645
-15.100	nan	-1.718	-1.622
-15.000	nan	-1.696	-1.599
-14.900	nan	-1.674	-1.576
-14.800	nan	-1.652	-1.553
-14.700	nan	-1.629	-1.531
-14.600	nan	-1.604	-1.508
-14.500	nan	-1.580	-1.486
-14.400	nan	-1.555	-1.466
-14.300	nan	-1.530	-1.445
-14.200	nan	-1.506	-1.425
-14.100	nan	-1.482	-1.405
-14.000	nan	-1.458	-1.384
-13.900	nan	-1.436	-1.362
-13.800	nan	-1.415	-1.340
-13.700	nan	-1.393	-1.319
-13.600	nan	-1.372	-1.296
-13.500	nan	-1.350	-1.272
-13.400	nan	-1.327	-1.249
-13.300	nan	-1.304	-1.225
-13.200	nan	-1.281	-1.201
-13.100	nan	-1.256	-1.177
-13.000	nan	-1.232	-1.153
-12.900	nan	-1.207	-1.129
-12.800	nan	-1.182	-1.106
-12.700	nan	-1.157	-1.082
-12.600	nan	-1.132	-1.057
-12.500	nan	-1.107	-1.033
-12.400	nan	-1.081	-1.010
-12.300	nan	-1.056	-0.987
-12.200	nan	-1.031	-0.964
-12.100	nan	-1.006	-0.942
