# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-1.497	nan	nan
-24.900	-1.458	nan	nan
-24.800	-1.420	nan	nan
-24.700	-1.381	nan	nan
-24.600	-1.343	nan	nan
-24.500	-1.304	nan	nan
-24.400	-1.266	nan	-4.944
-24.300	-1.228	nan	-4.871
-24.200	-1.189	nan	-4.767
-24.100	-1.151	nan	-4.650
-24.000	-1.113	nan	-4.541
-23.900	-1.075	nan	-4.435
-23.800	-1.037	nan	-4.332
-23.700	-0.999	nan	-4.240
-23.600	-0.962	nan	-4.148
-23.500	-0.924	nan	-4.051
-23.400	-0.886	nan	-3.962
-23.300	-0.848	nan	-3.879
-23.200	-0.811	nan	-3.805
-23.100	-0.773	nan	-3.733
-23.000	-0.736	nan	-3.665
-22.900	-0.698	nan	-3.598
-22.800	-0.661	nan	-3.529
-22.700	-0.623	nan	-3.463
-22.600	-0.586	nan	-3.401
-22.500	-0.548	nan	-3.344
-22.400	-0.511	nan	-3.292
-22.300	-0.474	nan	-3.239
-22.200	-0.437	nan	-3.184
-22.100	-0.399	nan	-3.134
-22.000	-0.362	-4.720	-3.092
-21.900	-0.325	-4.565	-3.051
-21.800	-0.288	-4.413	-3.010
-21.700	-0.251	-4.268	-2.969
-21.600	-0.213	-4.134	-2.926
-21.500	-0.176	-4.008	-2.883
-21.400	-0.139	-3.876	-2.846
-21.300	-0.102	-3.761	-2.815
-21.200	-0.065	-3.658	-2.784
-21.100	-0.028	-3.561	-2.754
-21.000	0.009	-3.469	-2.724
-20.900	0.046	-3.375	-2.695
-20.800	0.083	-3.287	-2.668
-20.700	0.120	-3.207	-2.641
-20.600	0.157	-3.136	-2.616
-20.500	0.194	-3.062	-2.592
-20.400	0.231	-2.993	-2.568
-20.300	0.267	-2.936	-2.544
-20.200	0.304	-2.880	-2.521
-20.100	0.341	-2.824	-2.498
-20.000	0.378	-2.764	-2.475
-19.900	0.415	-2.710	-2.454
-19.800	0.452	-2.668	-2.434
-19.700	0.489	-2.627	-2.413
-19.600	0.526	-2.586	-2.392
-19.500	0.562	-2.549	-2.371
-19.400	0.599	-2.515	-2.350
-19.300	0.636	-2.482	-2.328
-19.200	0.673	-2.453	-2.307
-19.100	0.710	-2.424	-2.286
-19.000	0.747	-2.397	-2.265
-18.900	0.783	-2.370	-2.244
-18.800	0.820	-2.345	-2.224
-18.700	0.857	-2.321	-2.203
-18.600	0.894	-2.297	-2.183
-18.500	0.931	-2.273	-2.162
-18.400	0.968	-2.248	-2.142
-18.300	1.004	-2.224	-2.120
-18.200	1.041	-2.200	-2.098
-18.100	1.078	-2.176	-2.077
-18.000	1.115	-2.153	-2.055
-17.900	1.152	-2.130	-2.033
-17.800	1.188	-2.107	-2.010
-17.700	1.225	-2.084	-1.987
-17.600	1.262	-2.061	-1.965
-17.500	1.299	-2.037	-1.942
-17.400	1.336	-2.013	-1.919
-17.300	1.373	-1.989	-1.897
-17.200	1.409	-1.965	-1.874
-17.100	1.446	-1.940	-1.852
-17.000	1.483	-1.915	-1.831
-16.900	1.520	-1.891	-1.810
-16.800	1.557	-1.866	-1.789
-16.700	1.594	-1.841	-1.768
-16.600	1.630	-1.816	-1.746
-16.500	1.654	-1.792	-1.725
-16.400	1.672	-1.769	-1.703
-16.300	nan	-1.747	-1.681
-16.200	nan	-1.725	-1.658
-16.100	nan	-1.702	-1.633
-16.000	nan	-1.679	-1.609
-15.900	nan	-1.656	-1.584
-15.800	nan	-1.632	-1.559
-15.700	nan	-1.608	-1.535
-15.600	nan	-1.581	-1.511
-15.500	nan	-1.555	-1.487
-15.400	nan	-1.528	-1.463
-15.300	nan	-1.503	-1.441
-15.200	nan	-1.477	-1.419
-15.100	nan	-1.452	-1.397
-15.000	nan	-1.426	-1.375
-14.900	nan	-1.403	-1.352
-14.800	nan	-1.380	-1.329
-14.700	nan	-1.356	-1.307
-14.600	nan	-1.333	-1.284
-14.500	nan	-1.309	-1.260
-14.400	nan	-1.285	-1.235
-14.300	nan	-1.261	-1.211
-14.200	nan	-1.238	-1.186
-14.100	nan	-1.212	-1.162
-14.000	nan	-1.186	-1.137
-13.900	nan	-1.161	-1.113
-13.800	nan	-1.135	-1.088
-13.700	nan	-1.110	-1.064
-13.600	nan	-1.084	-1.039
-13.500	nan	-1.059	-1.014
-13.400	nan	-1.033	-0.989
-13.300	nan	-1.007	-0.964
-13.200	nan	-0.981	-0.940
-13.100	nan	-0.955	-0.915
-13.000	nan	-0.930	-0.891
-12.900	nan	-0.905	-0.867
-12.800	nan	-0.880	-0.840
-12.700	nan	-0.855	-0.813
-12.600	nan	-0.828	-0.787
-12.500	nan	-0.801	-0.760
-12.400	nan	-0.773	-0.732
-12.300	nan	-0.746	-0.704
-12.200	nan	-0.717	-0.676
-12.100	nan	-0.688	-0.648
