# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-12.264	-39.006	-22.511
-24.900	-11.997	-37.274	-22.060
-24.800	-11.730	-35.640	-21.662
-24.700	-11.476	-34.214	-21.281
-24.600	-11.224	-32.828	-20.900
-24.500	-10.976	-31.477	-20.540
-24.400	-10.738	-30.336	-20.197
-24.300	-10.499	-29.229	-19.855
-24.200	-10.271	-28.189	-19.522
-24.100	-10.045	-27.257	-19.229
-24.000	-9.823	-26.395	-18.937
-23.900	-9.608	-25.582	-18.644
-23.800	-9.393	-24.792	-18.367
-23.700	-9.188	-24.099	-18.102
-23.600	-8.984	-23.443	-17.838
-23.500	-8.784	-22.827	-17.574
-23.400	-8.590	-22.242	-17.334
-23.300	-8.396	-21.684	-17.102
-23.200	-8.210	-21.189	-16.870
-23.100	-8.025	-20.695	-16.638
-23.000	-7.843	-20.242	-16.423
-22.900	-7.667	-19.797	-16.216
-22.800	-7.491	-19.369	-16.008
-22.700	-7.322	-18.989	-15.800
-22.600	-7.154	-18.608	-15.598
-22.500	-6.989	-18.245	-15.403
-22.400	-6.828	-17.902	-15.208
-22.300	-6.668	-17.558	-15.013
-22.200	-6.513	-17.237	-14.820
-22.100	-6.359	-16.936	-14.641
-22.000	-6.208	-16.635	-14.462
-21.900	-6.061	-16.347	-14.282
-21.800	-5.913	-16.077	-14.103
-21.700	-5.771	-15.807	-13.926
-21.600	-5.630	-15.539	-13.751
-21.500	-5.491	-15.286	-13.575
-21.400	-5.355	-15.033	-13.399
-21.300	-5.220	-14.780	-13.230
-21.200	-5.089	-14.543	-13.070
-21.100	-4.958	-14.310	-12.909
-21.000	-4.830	-14.078	-12.749
-20.900	-4.704	-13.847	-12.589
-20.800	-4.579	-13.618	-12.435
-20.700	-4.457	-13.390	-12.281
-20.600	-4.337	-13.164	-12.127
-20.500	-4.217	-12.956	-11.973
-20.400	-4.100	-12.748	-11.823
-20.300	-3.984	-12.539	-11.675
-20.200	-3.871	-12.337	-11.527
-20.100	-3.758	-12.137	-11.379
-20.000	-3.647	-11.937	-11.234
-19.900	-3.538	-11.741	-11.092
-19.800	-3.429	-11.549	-10.951
-19.700	-3.323	-11.358	-10.809
-19.600	-3.217	-11.168	-10.668
-19.500	-3.113	-10.990	-10.532
-19.400	-3.011	-10.812	-10.396
-19.300	-2.909	-10.635	-10.260
-19.200	-2.809	-10.470	-10.124
-19.100	-2.710	-10.310	-9.994
-19.000	-2.612	-10.149	-9.863
-18.900	-2.516	-9.993	-9.733
-18.800	-2.420	-9.845	-9.602
-18.700	-2.326	-9.697	-9.479
-18.600	-2.233	-9.549	-9.356
-18.500	-2.141	-9.411	-9.234
-18.400	-2.050	-9.277	-9.111
-18.300	-1.959	-9.142	-8.989
-18.200	-1.870	-9.007	-8.866
-18.100	-1.782	-8.876	-8.744
-18.000	-1.695	-8.744	-8.622
-17.900	-1.609	-8.613	-8.501
-17.800	-1.523	-8.484	-8.382
-17.700	-1.439	-8.358	-8.263
-17.600	-1.355	-8.233	-8.144
-17.500	-1.272	-8.107	-8.030
-17.400	-1.191	-7.988	-7.918
-17.300	-1.109	-7.872	-7.806
-17.200	-1.029	-7.755	-7.694
-17.100	-0.950	-7.638	-7.584
-17.000	-0.871	-7.525	-7.474
-16.900	-0.794	-7.412	-7.364
-16.800	-0.716	-7.299	-7.255
-16.700	-0.640	-7.187	-7.147
-16.600	-0.565	-7.078	-7.041
-16.500	-0.504	-6.969	-6.934
-16.400	-0.471	-6.860	-6.828
-16.300	-0.437	-6.751	-6.721
-16.200	nan	-6.643	-6.614
-16.100	nan	-6.535	-6.508
-16.000	nan	-6.426	-6.404
-15.900	nan	-6.327	-6.306
-15.800	nan	-6.228	-6.209
-15.700	nan	-6.129	-6.111
-15.600	nan	-6.030	-6.012
-15.500	nan	-5.929	-5.913
-15.400	nan	-5.829	-5.813
-15.300	nan	-5.728	-5.714
-15.200	nan	-5.629	-5.615
-15.100	nan	-5.530	-5.517
-15.000	nan	-5.431	-5.419
-14.900	nan	-5.333	-5.323
-14.800	nan	-5.243	-5.234
-14.700	nan	-5.153	-5.144
-14.600	nan	-5.063	-5.054
-14.500	nan	-4.968	-4.958
-14.400	nan	-4.869	-4.860
-14.300	nan	-4.770	-4.761
-14.200	nan	-4.671	-4.663
-14.100	nan	-4.571	-4.563
-14.000	nan	-4.470	-4.463
-13.900	nan	-4.371	-4.365
-13.800	nan	-4.294	-4.289
-13.700	nan	-4.217	-4.213
-13.600	nan	-4.141	-4.136
-13.500	nan	-4.073	-4.070
-13.400	nan	-4.013	-4.009
-13.300	nan	-3.952	-3.949
-13.200	nan	-3.892	-3.889
-13.100	nan	-3.833	-3.830
-13.000	nan	-3.774	-3.771
-12.900	nan	-3.715	-3.713
-12.800	nan	-3.656	-3.654
-12.700	nan	-3.581	-3.576
-12.600	nan	-3.480	-3.476
-12.500	nan	-3.380	-3.376
-12.400	nan	-3.281	-3.277
-12.300	nan	-3.194	-3.190
-12.200	nan	-3.107	-3.103
-12.100	nan	-3.020	-3.016
