# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-2.876	nan	-7.904
-24.900	-2.802	-15.748	-7.671
-24.800	-2.728	-14.916	-7.465
-24.700	-2.656	-14.088	-7.274
-24.600	-2.585	-13.344	-7.109
-24.500	-2.515	-12.653	-6.946
-24.400	-2.446	-11.996	-6.792
-24.300	-2.377	-11.402	-6.639
-24.200	-2.310	-10.862	-6.498
-24.100	-2.243	-10.361	-6.361
-24.000	-2.177	-9.904	-6.227
-23.900	-2.112	-9.479	-6.105
-23.800	-2.047	-9.080	-5.982
-23.700	-1.984	-8.708	-5.872
-23.600	-1.921	-8.360	-5.769
-23.500	-1.859	-8.026	-5.666
-23.400	-1.797	-7.706	-5.570
-23.300	-1.736	-7.425	-5.477
-23.200	-1.676	-7.170	-5.383
-23.100	-1.616	-6.956	-5.301
-23.000	-1.557	-6.750	-5.222
-22.900	-1.498	-6.550	-5.143
-22.800	-1.440	-6.366	-5.067
-22.700	-1.383	-6.188	-4.993
-22.600	-1.325	-6.024	-4.920
-22.500	-1.269	-5.865	-4.848
-22.400	-1.213	-5.725	-4.783
-22.300	-1.157	-5.591	-4.719
-22.200	-1.102	-5.464	-4.655
-22.100	-1.048	-5.342	-4.593
-22.000	-0.994	-5.225	-4.534
-21.900	-0.940	-5.123	-4.474
-21.800	-0.886	-5.020	-4.415
-21.700	-0.833	-4.923	-4.360
-21.600	-0.781	-4.827	-4.306
-21.500	-0.729	-4.733	-4.252
-21.400	-0.677	-4.650	-4.198
-21.300	-0.625	-4.566	-4.146
-21.200	-0.574	-4.485	-4.095
-21.100	-0.523	-4.408	-4.043
-21.000	-0.473	-4.331	-3.992
-20.900	-0.423	-4.257	-3.944
-20.800	-0.373	-4.187	-3.898
-20.700	-0.323	-4.117	-3.852
-20.600	-0.274	-4.048	-3.806
-20.500	-0.225	-3.981	-3.760
-20.400	-0.176	-3.915	-3.714
-20.300	-0.128	-3.849	-3.668
-20.200	-0.080	-3.789	-3.622
-20.100	-0.032	-3.729	-3.576
-20.000	0.016	-3.669	-3.530
-19.900	0.064	-3.610	-3.484
-19.800	0.111	-3.551	-3.438
-19.700	0.158	-3.492	-3.392
-19.600	0.205	-3.435	-3.347
-19.500	0.251	-3.379	-3.303
-19.400	0.298	-3.324	-3.260
-19.300	0.344	-3.269	-3.217
-19.200	0.390	-3.221	-3.173
-19.100	0.435	-3.173	-3.132
-19.000	0.481	-3.126	-3.090
-18.900	0.526	-3.079	-3.049
-18.800	0.572	-3.036	-3.007
-18.700	0.617	-2.992	-2.965
-18.600	0.662	-2.948	-2.924
-18.500	0.706	-2.904	-2.882
-18.400	0.751	-2.861	-2.840
-18.300	0.795	-2.817	-2.798
-18.200	0.840	-2.773	-2.755
-18.100	0.884	-2.730	-2.713
-18.000	0.928	-2.686	-2.671
-17.900	0.971	-2.643	-2.629
-17.800	1.015	-2.600	-2.589
-17.700	1.059	-2.558	-2.549
-17.600	1.102	-2.518	-2.509
-17.500	1.146	-2.478	-2.470
-17.400	1.189	-2.438	-2.431
-17.300	1.232	-2.398	-2.392
-17.200	1.275	-2.359	-2.353
-17.100	1.318	-2.320	-2.315
-17.000	1.360	-2.281	-2.275
-16.900	1.403	-2.241	-2.236
-16.800	1.445	-2.201	-2.196
-16.700	1.488	-2.161	-2.156
-16.600	1.530	-2.120	-2.116
-16.500	1.557	-2.081	-2.077
-16.400	1.577	-2.042	-2.038
-16.300	nan	-2.002	-1.999
-16.200	nan	-1.963	-1.960
-16.100	nan	-1.924	-1.920
-16.000	nan	-1.884	-1.881
-15.900	nan	-1.844	-1.841
-15.800	nan	-1.805	-1.802
-15.700	nan	-1.765	-1.762
-15.600	nan	-1.725	-1.722
-15.500	nan	-1.685	-1.683
-15.400	nan	-1.646	-1.643
-15.300	nan	-1.607	-1.604
-15.200	nan	-1.568	-1.565
-15.100	nan	-1.529	-1.527
-15.000	nan	-1.490	-1.487
-14.900	nan	-1.449	-1.446
-14.800	nan	-1.407	-1.405
-14.700	nan	-1.366	-1.364
-14.600	nan	-1.326	-1.325
-14.500	nan	-1.290	-1.289
-14.400	nan	-1.254	-1.252
-14.300	nan	-1.217	-1.216
-14.200	nan	-1.181	-1.180
-14.100	nan	-1.144	-1.143
-14.000	nan	-1.108	-1.106
-13.900	nan	-1.071	-1.070
-13.800	nan	-1.034	-1.033
-13.700	nan	-0.997	-0.996
-13.600	nan	-0.961	-0.959
-13.500	nan	-0.923	-0.922
-13.400	nan	-0.886	-0.884
-13.300	nan	-0.848	-0.847
-13.200	nan	-0.811	-0.809
-13.100	nan	-0.773	-0.772
-13.000	nan	-0.736	-0.735
-12.900	nan	-0.699	-0.698
-12.800	nan	-0.662	-0.661
-12.700	nan	-0.616	-0.615
-12.600	nan	-0.570	-0.568
-12.500	nan	-0.524	-0.522
-12.400	nan	-0.479	-0.478
-12.300	nan	-0.437	-0.435
-12.200	nan	-0.394	-0.393
-12.100	nan	-0.359	-0.359
