# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-2.506	nan	-7.287
-24.900	-2.440	nan	-7.079
-24.800	-2.375	nan	-6.898
-24.700	-2.311	nan	-6.721
-24.600	-2.248	nan	-6.561
-24.500	-2.185	nan	-6.406
-24.400	-2.123	nan	-6.259
-24.300	-2.062	nan	-6.119
-24.200	-2.002	-13.169	-5.982
-24.100	-1.941	-12.402	-5.859
-24.000	-1.882	-11.575	-5.735
-23.900	-1.824	-10.909	-5.620
-23.800	-1.765	-10.338	-5.506
-23.700	-1.708	-9.790	-5.395
-23.600	-1.651	-9.271	-5.290
-23.500	-1.595	-8.813	-5.185
-23.400	-1.539	-8.394	-5.090
-23.300	-1.483	-8.011	-5.002
-23.200	-1.428	-7.658	-4.914
-23.100	-1.374	-7.339	-4.835
-23.000	-1.320	-7.045	-4.758
-22.900	-1.266	-6.776	-4.682
-22.800	-1.213	-6.530	-4.612
-22.700	-1.160	-6.314	-4.544
-22.600	-1.108	-6.106	-4.475
-22.500	-1.056	-5.909	-4.406
-22.400	-1.005	-5.731	-4.336
-22.300	-0.953	-5.559	-4.266
-22.200	-0.903	-5.401	-4.204
-22.100	-0.852	-5.244	-4.152
-22.000	-0.802	-5.097	-4.100
-21.900	-0.752	-4.959	-4.048
-21.800	-0.703	-4.835	-3.999
-21.700	-0.654	-4.717	-3.950
-21.600	-0.605	-4.610	-3.902
-21.500	-0.556	-4.506	-3.853
-21.400	-0.508	-4.410	-3.808
-21.300	-0.460	-4.314	-3.762
-21.200	-0.412	-4.216	-3.717
-21.100	-0.365	-4.119	-3.672
-21.000	-0.317	-4.037	-3.629
-20.900	-0.270	-3.964	-3.586
-20.800	-0.223	-3.892	-3.542
-20.700	-0.177	-3.824	-3.499
-20.600	-0.131	-3.755	-3.457
-20.500	-0.085	-3.689	-3.415
-20.400	-0.039	-3.625	-3.373
-20.300	0.007	-3.562	-3.331
-20.200	0.052	-3.500	-3.290
-20.100	0.098	-3.440	-3.250
-20.000	0.143	-3.379	-3.210
-19.900	0.188	-3.320	-3.170
-19.800	0.233	-3.262	-3.130
-19.700	0.277	-3.204	-3.088
-19.600	0.321	-3.149	-3.047
-19.500	0.366	-3.098	-3.006
-19.400	0.410	-3.046	-2.965
-19.300	0.454	-2.996	-2.927
-19.200	0.497	-2.949	-2.889
-19.100	0.541	-2.902	-2.852
-19.000	0.584	-2.856	-2.814
-18.900	0.628	-2.814	-2.777
-18.800	0.671	-2.774	-2.740
-18.700	0.714	-2.733	-2.703
-18.600	0.757	-2.693	-2.666
-18.500	0.800	-2.653	-2.629
-18.400	0.842	-2.614	-2.591
-18.300	0.885	-2.575	-2.553
-18.200	0.928	-2.536	-2.515
-18.100	0.970	-2.496	-2.477
-18.000	1.012	-2.457	-2.439
-17.900	1.054	-2.417	-2.401
-17.800	1.096	-2.378	-2.363
-17.700	1.138	-2.339	-2.325
-17.600	1.180	-2.300	-2.288
-17.500	1.222	-2.261	-2.252
-17.400	1.263	-2.225	-2.217
-17.300	1.305	-2.189	-2.181
-17.200	1.346	-2.153	-2.146
-17.100	1.388	-2.117	-2.113
-17.000	1.429	-2.083	-2.079
-16.900	1.470	-2.050	-2.046
-16.800	1.511	-2.016	-2.013
-16.700	1.552	-1.982	-1.976
-16.600	1.593	-1.945	-1.939
-16.500	1.620	-1.908	-1.902
-16.400	1.639	-1.871	-1.866
-16.300	nan	-1.833	-1.829
-16.200	nan	-1.796	-1.792
-16.100	nan	-1.759	-1.755
-16.000	nan	-1.722	-1.718
-15.900	nan	-1.685	-1.682
-15.800	nan	-1.650	-1.647
-15.700	nan	-1.615	-1.612
-15.600	nan	-1.580	-1.577
-15.500	nan	-1.545	-1.543
-15.400	nan	-1.510	-1.508
-15.300	nan	-1.476	-1.474
-15.200	nan	-1.442	-1.440
-15.100	nan	-1.407	-1.405
-15.000	nan	-1.372	-1.370
-14.900	nan	-1.337	-1.336
-14.800	nan	-1.303	-1.301
-14.700	nan	-1.268	-1.266
-14.600	nan	-1.232	-1.230
-14.500	nan	-1.196	-1.194
-14.400	nan	-1.161	-1.159
-14.300	nan	-1.125	-1.124
-14.200	nan	-1.090	-1.089
-14.100	nan	-1.055	-1.054
-14.000	nan	-1.020	-1.019
-13.900	nan	-0.987	-0.985
-13.800	nan	-0.953	-0.952
-13.700	nan	-0.920	-0.919
-13.600	nan	-0.887	-0.885
-13.500	nan	-0.852	-0.850
-13.400	nan	-0.817	-0.815
-13.300	nan	-0.781	-0.780
-13.200	nan	-0.746	-0.745
-13.100	nan	-0.711	-0.710
-13.000	nan	-0.676	-0.675
-12.900	nan	-0.641	-0.639
-12.800	nan	-0.606	-0.605
-12.700	nan	-0.572	-0.571
-12.600	nan	-0.538	-0.537
-12.500	nan	-0.503	-0.501
-12.400	nan	-0.458	-0.456
-12.300	nan	-0.413	-0.411
-12.200	nan	-0.368	-0.366
-12.100	nan	-0.326	-0.324
