# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-4.909	-21.487	-11.108
-24.900	-4.792	-20.330	-10.850
-24.800	-4.674	-19.285	-10.597
-24.700	-4.562	-18.331	-10.364
-24.600	-4.450	-17.456	-10.131
-24.500	-4.339	-16.664	-9.928
-24.400	-4.232	-15.917	-9.737
-24.300	-4.125	-15.212	-9.546
-24.200	-4.021	-14.588	-9.365
-24.100	-3.919	-14.002	-9.187
-24.000	-3.817	-13.455	-9.008
-23.900	-3.719	-12.955	-8.862
-23.800	-3.620	-12.470	-8.718
-23.700	-3.525	-12.015	-8.573
-23.600	-3.430	-11.616	-8.436
-23.500	-3.337	-11.246	-8.302
-23.400	-3.246	-10.905	-8.168
-23.300	-3.155	-10.570	-8.040
-23.200	-3.067	-10.264	-7.924
-23.100	-2.979	-9.962	-7.808
-23.000	-2.892	-9.712	-7.693
-22.900	-2.807	-9.464	-7.585
-22.800	-2.723	-9.228	-7.481
-22.700	-2.640	-8.995	-7.377
-22.600	-2.559	-8.787	-7.274
-22.500	-2.478	-8.599	-7.176
-22.400	-2.399	-8.412	-7.081
-22.300	-2.319	-8.238	-6.985
-22.200	-2.242	-8.064	-6.889
-22.100	-2.166	-7.900	-6.802
-22.000	-2.090	-7.750	-6.717
-21.900	-2.015	-7.600	-6.632
-21.800	-1.941	-7.459	-6.547
-21.700	-1.869	-7.324	-6.464
-21.600	-1.796	-7.189	-6.383
-21.500	-1.725	-7.061	-6.302
-21.400	-1.654	-6.937	-6.220
-21.300	-1.584	-6.813	-6.141
-21.200	-1.516	-6.696	-6.065
-21.100	-1.447	-6.586	-5.990
-21.000	-1.379	-6.475	-5.914
-20.900	-1.313	-6.366	-5.838
-20.800	-1.246	-6.261	-5.763
-20.700	-1.181	-6.155	-5.687
-20.600	-1.116	-6.050	-5.612
-20.500	-1.051	-5.952	-5.537
-20.400	-0.988	-5.853	-5.464
-20.300	-0.924	-5.755	-5.395
-20.200	-0.862	-5.657	-5.325
-20.100	-0.800	-5.559	-5.255
-20.000	-0.739	-5.461	-5.186
-19.900	-0.678	-5.366	-5.119
-19.800	-0.617	-5.276	-5.053
-19.700	-0.557	-5.186	-4.986
-19.600	-0.498	-5.097	-4.920
-19.500	-0.439	-5.015	-4.854
-19.400	-0.380	-4.934	-4.789
-19.300	-0.322	-4.853	-4.723
-19.200	-0.265	-4.776	-4.658
-19.100	-0.207	-4.702	-4.593
-19.000	-0.151	-4.628	-4.528
-18.900	-0.094	-4.554	-4.463
-18.800	-0.038	-4.482	-4.398
-18.700	0.017	-4.411	-4.333
-18.600	0.073	-4.340	-4.273
-18.500	0.128	-4.270	-4.213
-18.400	0.182	-4.207	-4.153
-18.300	0.236	-4.143	-4.093
-18.200	0.290	-4.079	-4.034
-18.100	0.343	-4.016	-3.975
-18.000	0.397	-3.954	-3.915
-17.900	0.449	-3.892	-3.856
-17.800	0.502	-3.830	-3.797
-17.700	0.554	-3.768	-3.738
-17.600	0.606	-3.707	-3.679
-17.500	0.658	-3.647	-3.621
-17.400	0.709	-3.586	-3.562
-17.300	0.760	-3.525	-3.503
-17.200	0.811	-3.465	-3.444
-17.100	0.862	-3.405	-3.386
-17.000	0.912	-3.345	-3.327
-16.900	0.962	-3.286	-3.270
-16.800	1.012	-3.228	-3.213
-16.700	1.062	-3.169	-3.155
-16.600	1.111	-3.111	-3.100
-16.500	1.151	-3.058	-3.048
-16.400	1.174	-3.005	-2.995
-16.300	1.197	-2.952	-2.943
-16.200	nan	-2.899	-2.890
-16.100	nan	-2.844	-2.835
-16.000	nan	-2.788	-2.780
-15.900	nan	-2.733	-2.725
-15.800	nan	-2.678	-2.671
-15.700	nan	-2.623	-2.617
-15.600	nan	-2.569	-2.563
-15.500	nan	-2.515	-2.509
-15.400	nan	-2.460	-2.455
-15.300	nan	-2.406	-2.400
-15.200	nan	-2.351	-2.346
-15.100	nan	-2.297	-2.292
-15.000	nan	-2.246	-2.243
-14.900	nan	-2.197	-2.194
-14.800	nan	-2.148	-2.145
-14.700	nan	-2.099	-2.095
-14.600	nan	-2.047	-2.043
-14.500	nan	-1.995	-1.991
-14.400	nan	-1.943	-1.939
-14.300	nan	-1.891	-1.888
-14.200	nan	-1.841	-1.838
-14.100	nan	-1.791	-1.788
-14.000	nan	-1.740	-1.737
-13.900	nan	-1.691	-1.689
-13.800	nan	-1.643	-1.640
-13.700	nan	-1.594	-1.592
-13.600	nan	-1.544	-1.540
-13.500	nan	-1.484	-1.481
-13.400	nan	-1.425	-1.422
-13.300	nan	-1.366	-1.363
-13.200	nan	-1.310	-1.307
-13.100	nan	-1.254	-1.252
-13.000	nan	-1.199	-1.197
-12.900	nan	-1.158	-1.157
-12.800	nan	-1.122	-1.121
-12.700	nan	-1.086	-1.085
-12.600	nan	-1.053	-1.053
-12.500	nan	-1.029	-1.028
-12.400	nan	-1.004	-1.004
-12.300	nan	-0.980	-0.979
-12.200	nan	-0.949	-0.948
-12.100	nan	-0.916	-0.915
