# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-2.165	nan	-7.021
-24.900	-2.107	nan	-6.811
-24.800	-2.050	nan	-6.606
-24.700	-1.993	nan	-6.425
-24.600	-1.937	nan	-6.251
-24.500	-1.882	nan	-6.082
-24.400	-1.827	nan	-5.915
-24.300	-1.773	nan	-5.765
-24.200	-1.719	nan	-5.622
-24.100	-1.665	nan	-5.489
-24.000	-1.612	nan	-5.364
-23.900	-1.560	-11.332	-5.242
-23.800	-1.508	-10.721	-5.129
-23.700	-1.456	-10.141	-5.017
-23.600	-1.405	-9.612	-4.915
-23.500	-1.354	-9.107	-4.814
-23.400	-1.303	-8.607	-4.715
-23.300	-1.253	-8.137	-4.621
-23.200	-1.203	-7.687	-4.527
-23.100	-1.154	-7.299	-4.445
-23.000	-1.105	-6.972	-4.366
-22.900	-1.056	-6.674	-4.286
-22.800	-1.007	-6.392	-4.217
-22.700	-0.959	-6.148	-4.148
-22.600	-0.911	-5.911	-4.080
-22.500	-0.864	-5.685	-4.024
-22.400	-0.817	-5.484	-3.969
-22.300	-0.770	-5.300	-3.913
-22.200	-0.723	-5.125	-3.859
-22.100	-0.677	-4.968	-3.805
-22.000	-0.631	-4.816	-3.752
-21.900	-0.585	-4.674	-3.701
-21.800	-0.539	-4.538	-3.653
-21.700	-0.494	-4.407	-3.606
-21.600	-0.448	-4.289	-3.559
-21.500	-0.403	-4.178	-3.515
-21.400	-0.359	-4.076	-3.473
-21.300	-0.314	-3.980	-3.430
-21.200	-0.270	-3.894	-3.388
-21.100	-0.226	-3.816	-3.348
-21.000	-0.182	-3.739	-3.308
-20.900	-0.139	-3.664	-3.268
-20.800	-0.095	-3.589	-3.228
-20.700	-0.052	-3.521	-3.190
-20.600	-0.009	-3.455	-3.152
-20.500	0.034	-3.390	-3.114
-20.400	0.077	-3.331	-3.076
-20.300	0.119	-3.272	-3.039
-20.200	0.162	-3.214	-3.003
-20.100	0.204	-3.158	-2.967
-20.000	0.246	-3.102	-2.931
-19.900	0.288	-3.048	-2.895
-19.800	0.330	-2.996	-2.858
-19.700	0.371	-2.944	-2.822
-19.600	0.413	-2.894	-2.785
-19.500	0.454	-2.848	-2.749
-19.400	0.495	-2.801	-2.713
-19.300	0.537	-2.756	-2.678
-19.200	0.577	-2.714	-2.643
-19.100	0.618	-2.672	-2.608
-19.000	0.659	-2.630	-2.573
-18.900	0.700	-2.591	-2.540
-18.800	0.740	-2.552	-2.506
-18.700	0.781	-2.513	-2.472
-18.600	0.821	-2.476	-2.439
-18.500	0.861	-2.439	-2.406
-18.400	0.901	-2.403	-2.373
-18.300	0.941	-2.367	-2.339
-18.200	0.981	-2.332	-2.306
-18.100	1.021	-2.297	-2.272
-18.000	1.061	-2.262	-2.237
-17.900	1.100	-2.227	-2.202
-17.800	1.140	-2.191	-2.167
-17.700	1.179	-2.154	-2.132
-17.600	1.219	-2.118	-2.098
-17.500	1.258	-2.082	-2.064
-17.400	1.297	-2.047	-2.029
-17.300	1.337	-2.011	-1.996
-17.200	1.376	-1.975	-1.963
-17.100	1.415	-1.942	-1.930
-17.000	1.454	-1.909	-1.898
-16.900	1.493	-1.875	-1.866
-16.800	1.532	-1.842	-1.836
-16.700	1.571	-1.812	-1.806
-16.600	1.609	-1.782	-1.776
-16.500	1.634	-1.751	-1.747
-16.400	1.653	-1.721	-1.713
-16.300	nan	-1.688	-1.680
-16.200	nan	-1.654	-1.646
-16.100	nan	-1.620	-1.613
-16.000	nan	-1.586	-1.582
-15.900	nan	-1.555	-1.551
-15.800	nan	-1.524	-1.520
-15.700	nan	-1.493	-1.489
-15.600	nan	-1.462	-1.457
-15.500	nan	-1.428	-1.423
-15.400	nan	-1.395	-1.390
-15.300	nan	-1.361	-1.356
-15.200	nan	-1.328	-1.325
-15.100	nan	-1.297	-1.294
-15.000	nan	-1.266	-1.263
-14.900	nan	-1.235	-1.233
-14.800	nan	-1.204	-1.201
-14.700	nan	-1.172	-1.169
-14.600	nan	-1.140	-1.137
-14.500	nan	-1.107	-1.104
-14.400	nan	-1.075	-1.072
-14.300	nan	-1.042	-1.040
-14.200	nan	-1.010	-1.008
-14.100	nan	-0.978	-0.975
-14.000	nan	-0.945	-0.942
-13.900	nan	-0.910	-0.908
-13.800	nan	-0.876	-0.873
-13.700	nan	-0.842	-0.839
-13.600	nan	-0.811	-0.809
-13.500	nan	-0.781	-0.780
-13.400	nan	-0.751	-0.750
-13.300	nan	-0.722	-0.720
-13.200	nan	-0.687	-0.685
-13.100	nan	-0.653	-0.650
-13.000	nan	-0.618	-0.616
-12.900	nan	-0.585	-0.583
-12.800	nan	-0.553	-0.552
-12.700	nan	-0.522	-0.521
-12.600	nan	-0.491	-0.490
-12.500	nan	-0.458	-0.457
-12.400	nan	-0.425	-0.423
-12.300	nan	-0.391	-0.390
-12.200	nan	-0.357	-0.354
-12.100	nan	-0.315	-0.313
