# Muv	log10_phi_max	log10_phi_dust	log10_phi_nodust
-25.000	-10.192	-34.016	-19.465
-24.900	-9.966	-32.458	-19.093
-24.800	-9.741	-30.996	-18.728
-24.700	-9.526	-29.630	-18.362
-24.600	-9.313	-28.451	-18.046
-24.500	-9.103	-27.352	-17.735
-24.400	-8.901	-26.310	-17.424
-24.300	-8.699	-25.410	-17.121
-24.200	-8.505	-24.532	-16.824
-24.100	-8.313	-23.736	-16.526
-24.000	-8.125	-22.962	-16.248
-23.900	-7.942	-22.257	-16.003
-23.800	-7.759	-21.567	-15.757
-23.700	-7.584	-20.914	-15.512
-23.600	-7.411	-20.296	-15.283
-23.500	-7.240	-19.751	-15.060
-23.400	-7.074	-19.219	-14.836
-23.300	-6.909	-18.744	-14.614
-23.200	-6.750	-18.270	-14.417
-23.100	-6.592	-17.858	-14.221
-23.000	-6.436	-17.454	-14.024
-22.900	-6.285	-17.056	-13.829
-22.800	-6.134	-16.670	-13.653
-22.700	-5.989	-16.283	-13.476
-22.600	-5.844	-15.955	-13.299
-22.500	-5.702	-15.636	-13.123
-22.400	-5.563	-15.320	-12.956
-22.300	-5.425	-15.029	-12.790
-22.200	-5.291	-14.739	-12.624
-22.100	-5.159	-14.456	-12.459
-22.000	-5.028	-14.201	-12.302
-21.900	-4.900	-13.946	-12.150
-21.800	-4.773	-13.694	-11.999
-21.700	-4.649	-13.465	-11.847
-21.600	-4.527	-13.236	-11.697
-21.500	-4.406	-13.006	-11.549
-21.400	-4.287	-12.790	-11.401
-21.300	-4.169	-12.575	-11.254
-21.200	-4.055	-12.360	-11.106
-21.100	-3.941	-12.157	-10.969
-21.000	-3.829	-11.960	-10.833
-20.900	-3.719	-11.763	-10.696
-20.800	-3.609	-11.567	-10.559
-20.700	-3.502	-11.376	-10.429
-20.600	-3.396	-11.184	-10.301
-20.500	-3.291	-10.992	-10.173
-20.400	-3.188	-10.815	-10.045
-20.300	-3.085	-10.637	-9.919
-20.200	-2.985	-10.460	-9.796
-20.100	-2.886	-10.290	-9.673
-20.000	-2.788	-10.124	-9.550
-19.900	-2.691	-9.958	-9.427
-19.800	-2.595	-9.794	-9.306
-19.700	-2.501	-9.636	-9.186
-19.600	-2.407	-9.479	-9.065
-19.500	-2.315	-9.321	-8.945
-19.400	-2.224	-9.173	-8.830
-19.300	-2.134	-9.026	-8.719
-19.200	-2.045	-8.879	-8.607
-19.100	-1.957	-8.742	-8.496
-19.000	-1.870	-8.614	-8.387
-18.900	-1.784	-8.485	-8.280
-18.800	-1.699	-8.357	-8.174
-18.700	-1.615	-8.238	-8.067
-18.600	-1.532	-8.120	-7.961
-18.500	-1.450	-8.001	-7.855
-18.400	-1.369	-7.884	-7.748
-18.300	-1.288	-7.768	-7.642
-18.200	-1.209	-7.653	-7.535
-18.100	-1.130	-7.537	-7.432
-18.000	-1.052	-7.425	-7.330
-17.900	-0.975	-7.317	-7.228
-17.800	-0.899	-7.209	-7.126
-17.700	-0.824	-7.100	-7.026
-17.600	-0.749	-6.995	-6.927
-17.500	-0.675	-6.891	-6.828
-17.400	-0.602	-6.788	-6.728
-17.300	-0.529	-6.684	-6.631
-17.200	-0.458	-6.583	-6.533
-17.100	-0.387	-6.482	-6.436
-17.000	-0.317	-6.382	-6.339
-16.900	-0.247	-6.282	-6.245
-16.800	-0.178	-6.188	-6.153
-16.700	-0.110	-6.094	-6.061
-16.600	-0.043	-5.999	-5.969
-16.500	0.012	-5.904	-5.875
-16.400	0.042	-5.808	-5.781
-16.300	0.072	-5.712	-5.687
-16.200	nan	-5.616	-5.592
-16.100	nan	-5.522	-5.501
-16.000	nan	-5.430	-5.410
-15.900	nan	-5.338	-5.319
-15.800	nan	-5.246	-5.230
-15.700	nan	-5.160	-5.145
-15.600	nan	-5.074	-5.059
-15.500	nan	-4.987	-4.974
-15.400	nan	-4.900	-4.887
-15.300	nan	-4.810	-4.797
-15.200	nan	-4.719	-4.707
-15.100	nan	-4.628	-4.617
-15.000	nan	-4.541	-4.531
-14.900	nan	-4.455	-4.446
-14.800	nan	-4.369	-4.360
-14.700	nan	-4.284	-4.277
-14.600	nan	-4.204	-4.197
-14.500	nan	-4.124	-4.117
-14.400	nan	-4.043	-4.037
-14.300	nan	-3.958	-3.950
-14.200	nan	-3.869	-3.862
-14.100	nan	-3.780	-3.773
-14.000	nan	-3.691	-3.684
-13.900	nan	-3.600	-3.593
-13.800	nan	-3.508	-3.502
-13.700	nan	-3.422	-3.419
-13.600	nan	-3.356	-3.353
-13.500	nan	-3.291	-3.287
-13.400	nan	-3.225	-3.221
-13.300	nan	-3.168	-3.166
-13.200	nan	-3.116	-3.113
-13.100	nan	-3.063	-3.061
-13.000	nan	-3.012	-3.009
-12.900	nan	-2.960	-2.958
-12.800	nan	-2.909	-2.907
-12.700	nan	-2.858	-2.856
-12.600	nan	-2.807	-2.805
-12.500	nan	-2.729	-2.724
-12.400	nan	-2.634	-2.630
-12.300	nan	-2.539	-2.535
-12.200	nan	-2.449	-2.446
-12.100	nan	-2.370	-2.366
